"Title","Reading, writing and maths attainment for children aged 10 to 11 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","Boys","","Girls",""
"Ethnicity","Expected standard"," Higher standard","Expected standard"," Higher standard"
"All","57","7","65","10"
"Asian","60","8","67","12"
"Bangladeshi","62","7","68","11"
"Indian","69","12","75","19"
"Pakistani","53","5","59","7"
"Asian other","64","11","71","14"
"Black","55","5","65","8"
"Black African","58","6","67","10"
"Black Caribbean","48","3","59","5"
"Black other","53","4","62","8"
"Chinese","72","21","82","27"
"Mixed","59","8","67","11"
"Mixed White/Asian","66","12","74","17"
"Mixed White/Black African","58","6","66","9"
"Mixed White/Black Caribbean","50","4","60","6"
"Mixed other","61","9","68","12"
"White","57","7","65","10"
"White British","58","7","66","10"
"White Irish","66","12","73","15"
"White Irish Traveller","18","!","22","!"
"White Gypsy/Roma","13","0","19","0"
"White other","53","7","59","10"
"Other","54","6","61","9"
