"fsm","Ethnicity","%"
"FSM","All","43"
"FSM","Asian","53"
"FSM","Bangladeshi","59"
"FSM","Indian","58"
"FSM","Pakistani","49"
"FSM","Asian other","51"
"FSM","Black","52"
"FSM","Black African","54"
"FSM","Black Caribbean","46"
"FSM","Black other","50"
"FSM","Chinese","66"
"FSM","Mixed","47"
"FSM","Mixed White/Asian","48"
"FSM","Mixed White/Black African","50"
"FSM","Mixed White/Black Caribbean","44"
"FSM","Mixed other","48"
"FSM","White","39"
"FSM","White British","39"
"FSM","White Irish","43"
"FSM","White Irish Traveller","17"
"FSM","White Gypsy/Roma","15"
"FSM","White other","45"
"FSM","Other","50"
"Non-FSM","All","64"
"Non-FSM","Asian","65"
"Non-FSM","Bangladeshi","66"
"Non-FSM","Indian","72"
"Non-FSM","Pakistani","57"
"Non-FSM","Asian other","70"
"Non-FSM","Black","62"
"Non-FSM","Black African","65"
"Non-FSM","Black Caribbean","57"
"Non-FSM","Black other","60"
"Non-FSM","Chinese","77"
"Non-FSM","Mixed","67"
"Non-FSM","Mixed White/Asian","74"
"Non-FSM","Mixed White/Black African","66"
"Non-FSM","Mixed White/Black Caribbean","60"
"Non-FSM","Mixed other","68"
"Non-FSM","White","65"
"Non-FSM","White British","65"
"Non-FSM","White Irish","74"
"Non-FSM","White Irish Traveller","28"
"Non-FSM","White Gypsy/Roma","17"
"Non-FSM","White other","57"
"Non-FSM","Other","60"
