"Title","Reading, writing and maths attainment for children aged 10 to 11 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"gender","Ethnicity","Expected standard"," Higher standard"
"Boys","All","57","7"
"Boys","Asian","60","8"
"Boys","Bangladeshi","62","7"
"Boys","Indian","69","12"
"Boys","Pakistani","53","5"
"Boys","Asian other","64","11"
"Boys","Black","55","5"
"Boys","Black African","58","6"
"Boys","Black Caribbean","48","3"
"Boys","Black other","53","4"
"Boys","Chinese","72","21"
"Boys","Mixed","59","8"
"Boys","Mixed White/Asian","66","12"
"Boys","Mixed White/Black African","58","6"
"Boys","Mixed White/Black Caribbean","50","4"
"Boys","Mixed other","61","9"
"Boys","White","57","7"
"Boys","White British","58","7"
"Boys","White Irish","66","12"
"Boys","White Irish Traveller","18","!"
"Boys","White Gypsy/Roma","13","0"
"Boys","White other","53","7"
"Boys","Other","54","6"
"Girls","All","65","10"
"Girls","Asian","67","12"
"Girls","Bangladeshi","68","11"
"Girls","Indian","75","19"
"Girls","Pakistani","59","7"
"Girls","Asian other","71","14"
"Girls","Black","65","8"
"Girls","Black African","67","10"
"Girls","Black Caribbean","59","5"
"Girls","Black other","62","8"
"Girls","Chinese","82","27"
"Girls","Mixed","67","11"
"Girls","Mixed White/Asian","74","17"
"Girls","Mixed White/Black African","66","9"
"Girls","Mixed White/Black Caribbean","60","6"
"Girls","Mixed other","68","12"
"Girls","White","65","10"
"Girls","White British","66","10"
"Girls","White Irish","73","15"
"Girls","White Irish Traveller","22","!"
"Girls","White Gypsy/Roma","19","0"
"Girls","White other","59","10"
"Girls","Other","61","9"
