"Title","Reading, writing and maths attainment for children aged 10 to 11 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Ethnicity","Expected standard","Higher standard"
"All","61","9"
"Asian","63","10"
"Bangladeshi","65","9"
"Indian","71","15"
"Pakistani","56","6"
"Asian other","68","12"
"Black","60","7"
"Black African","62","8"
"Black Caribbean","54","4"
"Black other","57","6"
"Chinese","77","24"
"Mixed","63","10"
"Mixed White/Asian","70","14"
"Mixed White/Black African","62","8"
"Mixed White/Black Caribbean","55","5"
"Mixed other","64","11"
"White","61","9"
"White British","62","9"
"White Irish","69","13"
"White Irish Traveller","20","!"
"White Gypsy/Roma","16","0"
"White other","56","8"
"Other","57","7"
