"Title","Reading, writing and maths attainments for children aged 10 to 11 (key stage 2)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-24"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","53","%","585565"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","35","%","90935"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","57","%","494630"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","50","%","298962"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","32","%","46529"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","53","%","252433"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","57","%","286603"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","39","%","44406"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","61","%","242197"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","55","%","62073"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","44","%","9708"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","57","%","52365"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","52","%","31772"
