"Title","Reading, writing and maths attainments for children aged 10 to 11 (key stage 2)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-24"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","59","%","12706"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","45","%","2947"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","56","%","15212"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","56","%","1902"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","43","%","2494"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","42","%","1933"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","51","%","2142"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","51","%","3073"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","53","%","6340"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","49","%","7482"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","50","%","8297"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","54","%","8410"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","49","%","8419"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicestershire","E10000018","53","%","7158"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","51","%","3968"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","50","%","3106"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","51","%","7348"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","53","%","8072"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","53","%","375"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","48","%","2916"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Richmond upon Thames","E09000027","67","%","1988"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Tower Hamlets","E09000030","62","%","3008"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hammersmith and Fulham","E09000013","61","%","1270"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Barking and Dagenham","E09000002","58","%","3046"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Kensington and Chelsea","E09000020","70","%","913"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Greenwich","E09000011","64","%","2930"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hillingdon","E09000017","57","%","3471"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Camden","E09000007","61","%","1509"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hounslow","E09000018","59","%","2677"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Bexley","E09000004","59","%","2972"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Wandsworth","E09000032","61","%","2198"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Islington","E09000019","57","%","1761"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Newham","E09000025","62","%","4396"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Waltham Forest","E09000031","57","%","2989"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Lambeth","E09000022","62","%","2771"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Brent","E09000005","55","%","3432"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Barnet","E09000003","59","%","3729"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Harrow","E09000015","62","%","2668"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Lewisham","E09000023","56","%","3185"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hackney","E09000012","64","%","2429"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Enfield","E09000010","52","%","4091"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Havering","E09000016","63","%","2856"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Westminster","E09000033","58","%","1420"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Merton","E09000024","57","%","2013"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Kingston upon Thames","E09000021","60","%","1708"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Sutton","E09000029","65","%","2005"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Haringey","E09000014","56","%","2852"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Southwark","E09000028","58","%","3059"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","City of London","E09000001","89","%","28"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Redbridge","E09000026","58","%","3669"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Ealing","E09000009","54","%","3849"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Bromley","E09000006","67","%","3402"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Croydon","E09000008","55","%","4160"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Redcar and Cleveland","E06000003","60","%","1541"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Gateshead","E08000037","61","%","1976"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","County Durham","E06000047","59","%","5370"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","South Tyneside","E08000023","57","%","1534"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Newcastle upon Tyne","E08000021","57","%","2587"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Darlington","E06000005","56","%","1229"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","North Tyneside","E08000022","56","%","2241"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Northumberland","E06000057","56","%","3322"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Hartlepool","E06000001","53","%","1094"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Sunderland","E08000024","61","%","2977"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Stockton-on-Tees","E06000004","54","%","2253"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Middlesbrough","E06000002","49","%","1741"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Manchester","E08000003","52","%","5835"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Sefton","E08000014","56","%","2769"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Blackpool","E06000009","48","%","1669"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cheshire West and Chester","E06000050","53","%","3633"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","St. Helens","E08000013","53","%","1960"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Blackburn with Darwen","E06000008","51","%","2100"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Stockport","E08000007","58","%","3165"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Liverpool","E08000012","46","%","4660"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Wigan","E08000010","57","%","3575"
