"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Lower CI","Upper CI"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","0","0","0"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","-0.3","-0.3","-0.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","-0.4","-0.4","-0.4"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","0.4","0.1","0.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","-1.4","-2.2","-0.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","-0.6","-1","-0.2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1.7","1.7","1.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","0.3","0.2","0.4"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","-0.2","-0.4","-0.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","0.5","0.3","0.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","0.5","0.4","0.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","0.6","0.4","0.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","1.1","1.1","1.2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1","0.9","1.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","0.8","0.7","0.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","2","1.8","2.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1.4","1.3","1.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","1.2","1.1","1.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","0.2","0.1","0.4"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1.5","1.5","1.6"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1.3","1.1","1.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","1.8","1.5","2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1.6","1.4","1.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","-0.4","-0.7","-0.2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","All","All","Boys","All/Boys/Girls","-0.8","-0.8","-0.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","-1.1","-1.2","-1.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-1.3","-1.3","-1.2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-0.5","-1","0"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-2.8","-4","-1.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-1.7","-2.3","-1.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.9","0.8","1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","-0.5","-0.7","-0.4"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-1.2","-1.4","-1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-0.5","-0.8","-0.2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-0.2","-0.4","0"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-0.3","-0.5","-0.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","0.5","0.4","0.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.4","0.3","0.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.1","-0.1","0.2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","1.3","1.1","1.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.8","0.7","1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","0.5","0.4","0.6"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-0.6","-0.9","-0.4"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.9","0.8","1.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.5","0.2","0.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","0.8","0.4","1.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","0.9","0.7","1.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","-1.3","-1.6","-1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","All","All","Girls","All/Boys/Girls","0.8","0.8","0.9"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","0.6","0.6","0.6"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","0.5","0.4","0.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.3","0.9","1.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","0.2","-0.9","1.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","0.5","-0.1","1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","2.6","2.5","2.7"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","1.2","1.1","1.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","0.7","0.5","0.9"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.6","1.3","1.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.3","1.1","1.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.4","1.2","1.5"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","1.8","1.7","1.9"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.7","1.5","1.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.5","1.4","1.6"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","2.6","2.5","2.8"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","2","1.8","2.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","1.9","1.8","2"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","1.1","0.9","1.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","2.2","2","2.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","2.1","1.8","2.3"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","2.7","2.4","3.1"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","2.3","2.1","2.4"
"Progress writing","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","0.5","0.2","0.8"
