"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_type","Geography_code","Geography_name","Age group_type","Age group","Value","Numerator","Denominator"
"Average number of offences per reoffender",2004,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3,19613,6484
"Average number of offences per reoffender",2004,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3.1,46320,14807
"Average number of offences per reoffender",2004,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,4323,1717
"Average number of offences per reoffender",2004,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.9,3738,1272
"Average number of offences per reoffender",2004,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3.2,504368,155777
"Average number of offences per reoffender",2005,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.9,20471,7174
"Average number of offences per reoffender",2005,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3,46977,15854
"Average number of offences per reoffender",2005,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,4878,1965
"Average number of offences per reoffender",2005,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,4089,1447
"Average number of offences per reoffender",2005,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3.1,492000,160235
"Average number of offences per reoffender",2006,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,21136,7757
"Average number of offences per reoffender",2006,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.9,48957,17028
"Average number of offences per reoffender",2006,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.3,5107,2192
"Average number of offences per reoffender",2006,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,3942,1494
"Average number of offences per reoffender",2006,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3,494135,167371
"Average number of offences per reoffender",2007,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,21527,8041
"Average number of offences per reoffender",2007,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,50665,17792
"Average number of offences per reoffender",2007,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,4898,1989
"Average number of offences per reoffender",2007,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,4098,1513
"Average number of offences per reoffender",2007,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.9,498599,171164
"Average number of offences per reoffender",2008,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,21785,8166
"Average number of offences per reoffender",2008,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,49246,17812
"Average number of offences per reoffender",2008,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,4312,1684
"Average number of offences per reoffender",2008,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,3743,1498
"Average number of offences per reoffender",2008,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.9,485304,166095
"Average number of offences per reoffender",2009,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,20293,7865
"Average number of offences per reoffender",2009,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,44672,16900
"Average number of offences per reoffender",2009,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.4,3479,1433
"Average number of offences per reoffender",2009,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.4,3710,1518
"Average number of offences per reoffender",2009,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,434010,153530
"Average number of offences per reoffender",2010,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,19817,7470
"Average number of offences per reoffender",2010,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,43954,16219
"Average number of offences per reoffender",2010,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,3504,1389
"Average number of offences per reoffender",2010,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,3931,1479
"Average number of offences per reoffender",2010,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.9,420380,144286
"Average number of offences per reoffender",2011,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,18250,6985
"Average number of offences per reoffender",2011,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,41769,15395
"Average number of offences per reoffender",2011,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,3354,1359
"Average number of offences per reoffender",2011,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,3492,1349
"Average number of offences per reoffender",2011,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3,405081,136894
"Average number of offences per reoffender",2012,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,16615,6247
"Average number of offences per reoffender",2012,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,38448,13914
"Average number of offences per reoffender",2012,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.5,3037,1233
"Average number of offences per reoffender",2012,"Calendar year","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.7,3271,1231
"Average number of offences per reoffender",2012,"Calendar year","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",3,366827,121584
"Average number of offences per reoffender",2013,"Calendar year","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,16469,5971
"Average number of offences per reoffender",2013,"Calendar year","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.8,37488,13200
"Average number of offences per reoffender",2013,"Calendar year","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","All","All",2.6,3079,1198
