"Title","Average number of reoffences per offender, by ethnicity and age"
"Location","England and Wales"
"Time period","Year ending June 2015"
"Data source","NOMS Offender Equalities Statistics Bulletin - supplementary table 15.2 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Age Range","Region","Ethnic Group","Value","Number of reoffenders","Number of reoffences"
"10 to 14","England and Wales","Asian","3","112","334"
"10 to 14","England and Wales","Black","3.4","462","1592"
"10 to 14","England and Wales","White","3.7","2671","9897"
"10 to 14","England and Wales","Other","3.7","24","88"
"10 to 14","England and Wales","Not Recorded","2.4","65","158"
"15 to 17","England and Wales","Asian","3.2","455","1469"
"15 to 17","England and Wales","Black","3.1","1468","4490"
"15 to 17","England and Wales","White","3.2","8276","26699"
"15 to 17","England and Wales","Other","2.4","78","189"
"15 to 17","England and Wales","Not Recorded","2.8","129","362"
"18 to 20","England and Wales","Asian","2.7","732","1941"
"18 to 20","England and Wales","Black","2.7","1830","4936"
"18 to 20","England and Wales","White","3","11108","32927"
"18 to 20","England and Wales","Other","2.9","137","395"
"18 to 20","England and Wales","Not Recorded","2.4","129","308"
"21 to 24","England and Wales","Asian","2.6","979","2502"
"21 to 24","England and Wales","Black","2.6","2071","5457"
"21 to 24","England and Wales","White","3","15682","46616"
"21 to 24","England and Wales","Other","2.5","174","439"
"21 to 24","England and Wales","Not Recorded","2.7","183","501"
"25 to 29","England and Wales","Asian","2.8","985","2752"
"25 to 29","England and Wales","Black","2.9","1960","5667"
"25 to 29","England and Wales","White","3.3","17866","59660"
"25 to 29","England and Wales","Other","2.7","192","514"
"25 to 29","England and Wales","Not Recorded","2.9","176","502"
"30 to 34","England and Wales","Asian","3.3","866","2866"
"30 to 34","England and Wales","Black","3.3","1462","4839"
"30 to 34","England and Wales","White","3.7","14743","54216"
"30 to 34","England and Wales","Other","2.8","156","437"
"30 to 34","England and Wales","Not Recorded","2.6","164","431"
"35 to 39","England and Wales","Asian","3.1","616","1927"
"35 to 39","England and Wales","Black","3.4","970","3309"
"35 to 39","England and Wales","White","3.6","11177","40211"
"35 to 39","England and Wales","Other","2.7","119","322"
"35 to 39","England and Wales","Not Recorded","2.7","96","256"
"40 to 44","England and Wales","Asian","3","378","1129"
"40 to 44","England and Wales","Black","3.4","707","2419"
"40 to 44","England and Wales","White","3.3","8538","28442"
"40 to 44","England and Wales","Other","2.8","68","191"
"40 to 44","England and Wales","Not Recorded","2.6","65","167"
"45 to 49","England and Wales","Asian","2.7","196","535"
"45 to 49","England and Wales","Black","3.3","625","2045"
"45 to 49","England and Wales","White","3.1","5622","17461"
"45 to 49","England and Wales","Other","2.8","48","136"
"45 to 49","England and Wales","Not Recorded","2.4","52","124"
"50+","England and Wales","Asian","2.7","179","492"
"50+","England and Wales","Black","3.2","620","1998"
"50+","England and Wales","White","3","5251","15528"
"50+","England and Wales","Other","2.5","46","117"
"50+","England and Wales","Not Recorded","3.2","63","199"
