"Title","Average number of reoffences per offender, by ethnicity and area"
"Location","England and Wales"
"Time period","Year ending June 2015"
"Data source","NOMS Offender Equalities Statistics Bulletin - supplementary table 15.2 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Ethnic Group","Average Number of reoffences per reoffender","Number of reoffenders","Number of reoffences"
"East Midlands","Asian","2.8","305","865"
"East Midlands","Black","3.1","673","2095"
"East Midlands","White","3.3","8056","26326"
"East Midlands","Other","1.8","37","68"
"East Midlands","Not Recorded","2.9","49","143"
"East of England","Asian","2.9","296","854"
"East of England","Black","3.4","740","2522"
"East of England","White","3.2","9293","29394"
"East of England","Other","2.6","56","143"
"East of England","Not Recorded","2.2","93","207"
"London","Asian","2.8","2144","6031"
"London","Black","2.9","6697","19381"
"London","White","3.1","10843","33697"
"London","Other","2.7","558","1533"
"London","Not Recorded","2.7","225","604"
"North East","Asian","3.6","105","381"
"North East","Black","2.8","124","348"
"North East","White","3.5","8393","29748"
"North East","Other","3.6","32","116"
"North East","Not Recorded","5.2","33","172"
"North West","Asian","2.9","537","1545"
"North West","Black","3","677","2033"
"North West","White","3.2","16055","50785"
"North West","Other","2.5","78","192"
"North West","Not Recorded","2.3","181","425"
"South East","Asian","3","476","1413"
"South East","Black","3","870","2626"
"South East","White","3.4","12308","42061"
"South East","Other","2.9","68","199"
"South East","Not Recorded","2.8","290","819"
"South West","Asian","2.5","100","248"
"South West","Black","3.5","482","1663"
"South West","White","3.3","8217","27115"
"South West","Other","2.5","46","117"
"South West","Not Recorded","2.5","87","215"
"Wales","Asian","3","109","322"
"Wales","Black","3.2","190","604"
"Wales","White","3.2","8046","25385"
"Wales","Other","3","37","111"
"Wales","Not Recorded","2.2","24","54"
"West Midlands","Asian","3.1","845","2594"
"West Midlands","Black","3.2","1191","3821"
"West Midlands","White","3.4","8729","29364"
"West Midlands","Other","2.8","84","233"
"West Midlands","Not Recorded","2.8","87","244"
"Yorkshire and The Humber","Asian","2.9","578","1683"
"Yorkshire and The Humber","Black","3.1","529","1649"
"Yorkshire and The Humber","White","3.4","10959","37637"
"Yorkshire and The Humber","Other","2.5","45","114"
"Yorkshire and The Humber","Not Recorded","2.4","53","125"
"Unknown","Asian","3.7","3","11"
"Unknown","Black","5","2","10"
"Unknown","White","4.1","35","145"
"Unknown","Other","2","1","2"
"Unknown","Not Recorded","NA","0","0"
