"Title","Employment by occupation"
"Location","UK"
"Time period","2004 to 2017"
"Data source","Department for Business, Energy & Industrial Strategy"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Occupation","Occupation_Type","Value","Denominator","Numerator","Conf","Note"
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","28183100","3685000","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","13","28183100","3628100","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","28183100","2222100","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","28183100","3171700","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","28183100","2740600","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","28183100","2146400","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","28183100","4797000","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","28183100","2380700","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","28183100","3411500","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black or Black British","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","492100","62200","2.1",""
