"Title","Remand status at Crown Court by ethnicity"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"","Year","Ethnicity","%","Number"
"Not remanded","2012"," White","17.4"," 12,479 "
"Not remanded","2012"," Black","10.9"," 1,145 "
"Not remanded","2012"," Asian","9.8","716"
"Not remanded","2012"," Mixed","14.5","457"
"Not remanded","2012"," Chinese or other","14.3","261"
"Not remanded","2012"," Not stated","18.7"," 1,942 "
"Not remanded","2013"," White","18.0"," 12,160 "
"Not remanded","2013"," Black","11.4"," 1,087 "
"Not remanded","2013"," Asian","10.2","697"
"Not remanded","2013"," Mixed","14.6","426"
"Not remanded","2013"," Chinese or other","13.0","214"
"Not remanded","2013"," Not stated","17.3"," 1,824 "
"Not remanded","2014"," White","15.4"," 10,524 "
"Not remanded","2014"," Black","9.7","903"
"Not remanded","2014"," Asian","9.3","616"
"Not remanded","2014"," Mixed","13.3","374"
"Not remanded","2014"," Chinese or other","11.1","170"
"Not remanded","2014"," Not stated","16.5"," 1,969 "
"Not remanded","2015"," White","14.2"," 9,592 "
"Not remanded","2015"," Black","10.1","926"
"Not remanded","2015"," Asian","8.7","590"
"Not remanded","2015"," Mixed","11.5","322"
"Not remanded","2015"," Chinese or other","10.5","166"
"Not remanded","2015"," Not stated","15.8"," 2,261 "
"Not remanded","2016"," White","17.5"," 10,512 "
"Not remanded","2016"," Black","12.8"," 1,160 "
"Not remanded","2016"," Asian","11.5","715"
"Not remanded","2016"," Mixed","16.0","401"
"Not remanded","2016"," Chinese or other","11.4","155"
"Not remanded","2016"," Not stated","17.3"," 2,873 "
"Bail","2012"," White","49.5"," 35,535 "
"Bail","2012"," Black","43.8"," 4,580 "
"Bail","2012"," Asian","55.6"," 4,052 "
"Bail","2012"," Mixed","43.9"," 1,380 "
"Bail","2012"," Chinese or other","41.1","749"
"Bail","2012"," Not stated","49.5"," 5,143 "
"Bail","2013"," White","47.2"," 31,888 "
"Bail","2013"," Black","42.6"," 4,052 "
"Bail","2013"," Asian","55.0"," 3,772 "
"Bail","2013"," Mixed","42.4"," 1,238 "
"Bail","2013"," Chinese or other","40.2","662"
"Bail","2013"," Not stated","49.0"," 5,171 "
"Bail","2014"," White","47.7"," 32,521 "
"Bail","2014"," Black","43.2"," 4,022 "
"Bail","2014"," Asian","53.7"," 3,567 "
"Bail","2014"," Mixed","41.9"," 1,177 "
"Bail","2014"," Chinese or other","44.6","684"
"Bail","2014"," Not stated","50.5"," 6,033 "
"Bail","2015"," White","49.2"," 33,188 "
"Bail","2015"," Black","44.1"," 4,035 "
"Bail","2015"," Asian","54.5"," 3,676 "
"Bail","2015"," Mixed","45.7"," 1,280 "
"Bail","2015"," Chinese or other","45.8","728"
"Bail","2015"," Not stated","51.8"," 7,400 "
"Bail","2016"," White","47.6"," 28,530 "
"Bail","2016"," Black","44.3"," 4,010 "
"Bail","2016"," Asian","52.2"," 3,237 "
"Bail","2016"," Mixed","42.8"," 1,074 "
"Bail","2016"," Chinese or other","49.4","670"
"Bail","2016"," Not stated","50.3"," 8,361 "
"Custody","2012"," White","33.1"," 23,803 "
"Custody","2012"," Black","45.3"," 4,743 "
"Custody","2012"," Asian","34.6"," 2,526 "
"Custody","2012"," Mixed","41.5"," 1,304 "
"Custody","2012"," Chinese or other","44.6","813"
"Custody","2012"," Not stated","31.9"," 3,315 "
"Custody","2013"," White","34.8"," 23,460 "
"Custody","2013"," Black","46.0"," 4,377 "
"Custody","2013"," Asian","34.8"," 2,383 "
"Custody","2013"," Mixed","43.0"," 1,257 "
"Custody","2013"," Chinese or other","46.8","770"
"Custody","2013"," Not stated","33.7"," 3,554 "
"Custody","2014"," White","36.8"," 25,111 "
"Custody","2014"," Black","47.1"," 4,388 "
"Custody","2014"," Asian","37.0"," 2,454 "
"Custody","2014"," Mixed","44.8"," 1,259 "
"Custody","2014"," Chinese or other","44.3","678"
"Custody","2014"," Not stated","33.0"," 3,946 "
"Custody","2015"," White","36.5"," 24,623 "
"Custody","2015"," Black","45.8"," 4,190 "
"Custody","2015"," Asian","36.7"," 2,478 "
"Custody","2015"," Mixed","42.8"," 1,199 "
"Custody","2015"," Chinese or other","43.7","694"
"Custody","2015"," Not stated","32.4"," 4,638 "
"Custody","2016"," White","34.9"," 20,894 "
"Custody","2016"," Black","42.8"," 3,876 "
"Custody","2016"," Asian","36.3"," 2,251 "
"Custody","2016"," Mixed","41.2"," 1,034 "
"Custody","2016"," Chinese or other","39.2","532"
"Custody","2016"," Not stated","32.4"," 5,386 "
