"Title","Remands in custody by ethnicity and gender"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics (December 2017)"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"Ethnicity and sex","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Asian Female","24.5","94","22.0","98","22.2","104","19.2","79","18.2","62","20.7","68","20.3","74","23.2","72","22.1","60"
"Black Female","37.7","422","32.9","410","28.6","357","25.6","232","27.1","207","30.6","205","24.2","180","23.0","151","22.7","123"
"Mixed Female","19.4","43","21.7","86","28.4","112","22.2","80","23.5","64","24.2","64","21.6","63","24.9","58","27.2","56"
"Other inc Chinese Female","45.7","84","42.1","107","35.6","80","32.0","66","31.0","52","27.3","51","26.0","51","26.1","31","34.6","37"
"White Female","18.4","1,404","18.2","1,692","20.3","1,873","19.8","1,545","20.0","1,381","23.6","1,673","21.0","1,514","22.1","1,357","24.7","1,309"
"Asian Male","37.3","2,209","35.2","2,731","35.5","2,783","35.6","2,447","35.6","2,321","37.8","2,386","37.7","2,404","37.0","2,179","36.9","1,994"
"Black Male","49.2","4,288","47.0","4,963","47.7","5,187","47.2","4,511","47.6","4,170","48.4","4,183","47.7","4,010","44.4","3,725","44.0","3,463"
"Mixed Male","46.0","958","42.7","1,183","43.8","1,355","44.0","1,224","45.0","1,193","47.0","1,195","45.3","1,136","42.9","976","45.2","881"
"Other inc Chinese Male","52.8","827","51.2","985","46.9","857","46.2","747","48.6","718","46.6","627","46.2","643","40.5","501","41.0","428"
"White Male","33.5","19,702","34.1","24,941","35.8","26,401","34.8","22,258","36.4","22,079","38.4","23,438","38.4","23,109","36.3","19,537","37.0","17,471"
