"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Avon and Somerset","19","47","40.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Avon and Somerset","25","47","53.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Avon and Somerset","3","47","6.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Bedfordshire","84","144","58.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Bedfordshire","50","144","34.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Bedfordshire","10","144","6.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Cambridgeshire","45","98","45.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Cambridgeshire","38","98","38.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Cambridgeshire","15","98","15.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Cheshire","12","25","48.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Cheshire","12","25","48.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Cheshire","1","25","4.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","City of London","8","43","18.6"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","City of London","2","43","4.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Cleveland","33","43","76.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Cleveland","17","24","70.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Cleveland","6","24","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Cumbria","1","24","4.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Cumbria","3","36","8.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Cumbria","1","36","2.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Derbyshire","32","36","88.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Derbyshire","41","57","71.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Derbyshire","10","57","17.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Devon and Cornwall","6","57","10.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Devon and Cornwall","9","22","40.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Devon and Cornwall","4","22","18.2"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Dorset","9","22","40.9"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Dorset","7","12","58.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Dorset","2","12","16.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Durham","3","12","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Durham","1","11","9.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Dyfed-Powys","4","11","36.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Dyfed-Powys","6","11","54.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Dyfed-Powys","1","55","1.8"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Essex","29","55","52.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Essex","25","55","45.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Essex","12","30","40.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Gloucestershire","9","30","30.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Gloucestershire","9","30","30.0"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Gloucestershire","2","573","0.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Greater Manchester","364","573","63.5"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Greater Manchester","207","573","36.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Greater Manchester","45","70","64.3"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Gwent","5","70","7.1"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Gwent","20","70","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Not remanded","Gwent","1","69","1.4"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Bail","Hampshire","35","69","50.7"
"percentage of people on remand by status and police force area","2009","All","All","Asian","Custody","Hampshire","33","69","47.8"
