"","Asian","","Black","","Mixed","","White","","Other inc Chinese",""
"Year","%","Number","%","Number","%","Number","%","Number","%","Number"
"2009","36.5","2,303","47.9","4,710","43.5","1,001","31.8","21,106","52.1","911"
"2010","34.4","2,829","45.5","5,373","40.1","1,269","32.3","26,633","50.2","1,092"
"2011","34.7","2,887","45.8","5,544","42.1","1,467","34.1","28,274","45.7","938"
"2012","34.6","2,526","45.3","4,743","41.5","1,304","33.1","23,803","44.6","813"
"2013","34.8","2,383","46.0","4,377","43.0","1,257","34.8","23,460","46.8","770"
"2014","37.0","2,454","47.1","4,388","44.8","1,259","36.8","25,111","44.3","678"
"2015","36.7","2,478","45.8","4,190","42.8","1,199","36.5","24,623","43.7","694"
"2016","36.3","2,251","42.8","3,876","41.2","1,034","34.9","20,894","39.2","532"
"2017","36.2","2,054","42.6","3,586","43.5","937","35.8","18,780","40.4","465"
