"Title","Remand status at Crown Court by ethnicity and age group"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17 May 2017"

"","Year","Ethnicity","Age group","%"
"Not remanded","2012"," White"," Juveniles","3.3"
"Not remanded","2012"," Black"," Juveniles","2.3"
"Not remanded","2012"," Asian"," Juveniles","4.5"
"Not remanded","2012"," Mixed"," Juveniles","4.8"
"Not remanded","2012"," Chinese or other"," Juveniles","6.6"
"Not remanded","2012"," Not stated"," Juveniles","9.1"
"Not remanded","2012"," White"," Young adults","17.2"
"Not remanded","2012"," Black"," Young adults","11.0"
"Not remanded","2012"," Asian"," Young adults","11.0"
"Not remanded","2012"," Mixed"," Young adults","14.3"
"Not remanded","2012"," Chinese or other"," Young adults","9.9"
"Not remanded","2012"," Not stated"," Young adults","20.9"
"Not remanded","2012"," White"," Adults","17.7"
"Not remanded","2012"," Black"," Adults","11.5"
"Not remanded","2012"," Asian"," Adults","9.8"
"Not remanded","2012"," Mixed"," Adults","15.3"
"Not remanded","2012"," Chinese or other"," Adults","15.2"
"Not remanded","2012"," Not stated"," Adults","18.6"
"Not remanded","2013"," White"," Juveniles","6.4"
"Not remanded","2013"," Black"," Juveniles","6.3"
"Not remanded","2013"," Asian"," Juveniles","2.8"
"Not remanded","2013"," Mixed"," Juveniles","6.9"
"Not remanded","2013"," Chinese or other"," Juveniles","16.7"
"Not remanded","2013"," Not stated"," Juveniles","9.0"
"Not remanded","2013"," White"," Young adults","19.4"
"Not remanded","2013"," Black"," Young adults","11.6"
"Not remanded","2013"," Asian"," Young adults","8.8"
"Not remanded","2013"," Mixed"," Young adults","16.3"
"Not remanded","2013"," Chinese or other"," Young adults","14.3"
"Not remanded","2013"," Not stated"," Young adults","19.5"
"Not remanded","2013"," White"," Adults","18.1"
"Not remanded","2013"," Black"," Adults","11.7"
"Not remanded","2013"," Asian"," Adults","10.6"
"Not remanded","2013"," Mixed"," Adults","14.7"
"Not remanded","2013"," Chinese or other"," Adults","12.8"
"Not remanded","2013"," Not stated"," Adults","17.3"
"Not remanded","2014"," White"," Juveniles","6.1"
"Not remanded","2014"," Black"," Juveniles","7.3"
"Not remanded","2014"," Asian"," Juveniles","8.8"
"Not remanded","2014"," Mixed"," Juveniles","6.8"
"Not remanded","2014"," Chinese or other"," Juveniles","#VALUE!"
"Not remanded","2014"," Not stated"," Juveniles","9.6"
"Not remanded","2014"," White"," Young adults","16.1"
"Not remanded","2014"," Black"," Young adults","9.4"
"Not remanded","2014"," Asian"," Young adults","11.3"
"Not remanded","2014"," Mixed"," Young adults","11.2"
"Not remanded","2014"," Chinese or other"," Young adults","8.6"
"Not remanded","2014"," Not stated"," Young adults","17.2"
"Not remanded","2014"," White"," Adults","15.5"
"Not remanded","2014"," Black"," Adults","9.8"
"Not remanded","2014"," Asian"," Adults","9.0"
"Not remanded","2014"," Mixed"," Adults","14.2"
"Not remanded","2014"," Chinese or other"," Adults","11.5"
"Not remanded","2014"," Not stated"," Adults","16.5"
"Not remanded","2015"," White"," Juveniles","8.6"
"Not remanded","2015"," Black"," Juveniles","7.6"
"Not remanded","2015"," Asian"," Juveniles","7.1"
"Not remanded","2015"," Mixed"," Juveniles","9.1"
"Not remanded","2015"," Chinese or other"," Juveniles","7.7"
"Not remanded","2015"," Not stated"," Juveniles","16.2"
"Not remanded","2015"," White"," Young adults","15.3"
"Not remanded","2015"," Black"," Young adults","13.0"
"Not remanded","2015"," Asian"," Young adults","10.1"
"Not remanded","2015"," Mixed"," Young adults","10.6"
"Not remanded","2015"," Chinese or other"," Young adults","11.7"
"Not remanded","2015"," Not stated"," Young adults","19.0"
"Not remanded","2015"," White"," Adults","14.2"
"Not remanded","2015"," Black"," Adults","9.7"
"Not remanded","2015"," Asian"," Adults","8.6"
"Not remanded","2015"," Mixed"," Adults","11.8"
"Not remanded","2015"," Chinese or other"," Adults","10.4"
"Not remanded","2015"," Not stated"," Adults","15.5"
"Not remanded","2016"," White"," Juveniles","12.1"
"Not remanded","2016"," Black"," Juveniles","15.4"
"Not remanded","2016"," Asian"," Juveniles","10.7"
"Not remanded","2016"," Mixed"," Juveniles","6.5"
"Not remanded","2016"," Chinese or other"," Juveniles","4.8"
"Not remanded","2016"," Not stated"," Juveniles","20.4"
"Not remanded","2016"," White"," Young adults","19.1"
"Not remanded","2016"," Black"," Young adults","17.2"
"Not remanded","2016"," Asian"," Young adults","12.9"
"Not remanded","2016"," Mixed"," Young adults","21.6"
"Not remanded","2016"," Chinese or other"," Young adults","16.2"
"Not remanded","2016"," Not stated"," Young adults","21.6"
"Not remanded","2016"," White"," Adults","17.4"
"Not remanded","2016"," Black"," Adults","11.9"
"Not remanded","2016"," Asian"," Adults","11.4"
"Not remanded","2016"," Mixed"," Adults","15.1"
"Not remanded","2016"," Chinese or other"," Adults","11.0"
"Not remanded","2016"," Not stated"," Adults","16.8"
"Bail","2012"," White"," Juveniles","65.3"
"Bail","2012"," Black"," Juveniles","46.8"
"Bail","2012"," Asian"," Juveniles","62.9"
"Bail","2012"," Mixed"," Juveniles","55.7"
"Bail","2012"," Chinese or other"," Juveniles","50.8"
"Bail","2012"," Not stated"," Juveniles","51.4"
"Bail","2012"," White"," Young adults","49.0"
"Bail","2012"," Black"," Young adults","41.3"
"Bail","2012"," Asian"," Young adults","54.8"
"Bail","2012"," Mixed"," Young adults","42.2"
"Bail","2012"," Chinese or other"," Young adults","35.1"
"Bail","2012"," Not stated"," Young adults","41.4"
"Bail","2012"," White"," Adults","49.2"
"Bail","2012"," Black"," Adults","44.1"
"Bail","2012"," Asian"," Adults","55.4"
"Bail","2012"," Mixed"," Adults","43.6"
"Bail","2012"," Chinese or other"," Adults","41.5"
"Bail","2012"," Not stated"," Adults","50.3"
"Bail","2013"," White"," Juveniles","60.1"
"Bail","2013"," Black"," Juveniles","48.8"
"Bail","2013"," Asian"," Juveniles","71.6"
"Bail","2013"," Mixed"," Juveniles","49.4"
"Bail","2013"," Chinese or other"," Juveniles","45.8"
"Bail","2013"," Not stated"," Juveniles","48.3"
"Bail","2013"," White"," Young adults","45.2"
"Bail","2013"," Black"," Young adults","38.1"
"Bail","2013"," Asian"," Young adults","56.2"
"Bail","2013"," Mixed"," Young adults","39.9"
"Bail","2013"," Chinese or other"," Young adults","32.3"
"Bail","2013"," Not stated"," Young adults","38.4"
