"Title","Remand status at Crown Court"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Measure","Year","Sex","Age group","ethnicity","remand status","count","denominator","value"
"percentage of defendants by remand status","2009","All","All","Asian","Bail","3430","6311","54.3"
"percentage of defendants by remand status","2009","All","All","Asian","Custody","2303","6311","36.5"
"percentage of defendants by remand status","2009","All","All","Asian","Not remanded","578","6311","9.2"
"percentage of defendants by remand status","2009","All","All","Black","Bail","4038","9833","41.1"
"percentage of defendants by remand status","2009","All","All","Black","Custody","4710","9833","47.9"
"percentage of defendants by remand status","2009","All","All","Black","Not remanded","1085","9833","11.0"
"percentage of defendants by remand status","2009","All","All","Mixed","Bail","1026","2303","44.6"
"percentage of defendants by remand status","2009","All","All","Mixed","Custody","1001","2303","43.5"
"percentage of defendants by remand status","2009","All","All","Mixed","Not remanded","276","2303","12.0"
"percentage of defendants by remand status","2009","All","All","Other inc Chinese","Bail","639","1749","36.5"
"percentage of defendants by remand status","2009","All","All","Other inc Chinese","Custody","911","1749","52.1"
"percentage of defendants by remand status","2009","All","All","Other inc Chinese","Not remanded","199","1749","11.4"
"percentage of defendants by remand status","2009","All","All","White","Bail","34985","66363","52.7"
"percentage of defendants by remand status","2009","All","All","White","Custody","21106","66363","31.8"
"percentage of defendants by remand status","2009","All","All","White","Not remanded","10272","66363","15.5"
"percentage of defendants by remand status","2010","All","All","Asian","Bail","4759","8213","57.9"
"percentage of defendants by remand status","2010","All","All","Asian","Custody","2829","8213","34.4"
"percentage of defendants by remand status","2010","All","All","Asian","Not remanded","625","8213","7.6"
"percentage of defendants by remand status","2010","All","All","Black","Bail","5403","11805","45.8"
"percentage of defendants by remand status","2010","All","All","Black","Custody","5373","11805","45.5"
"percentage of defendants by remand status","2010","All","All","Black","Not remanded","1029","11805","8.7"
"percentage of defendants by remand status","2010","All","All","Mixed","Bail","1560","3167","49.3"
"percentage of defendants by remand status","2010","All","All","Mixed","Custody","1269","3167","40.1"
"percentage of defendants by remand status","2010","All","All","Mixed","Not remanded","338","3167","10.7"
"percentage of defendants by remand status","2010","All","All","Other inc Chinese","Bail","863","2176","39.7"
"percentage of defendants by remand status","2010","All","All","Other inc Chinese","Custody","1092","2176","50.2"
"percentage of defendants by remand status","2010","All","All","Other inc Chinese","Not remanded","221","2176","10.2"
"percentage of defendants by remand status","2010","All","All","White","Bail","44811","82428","54.4"
"percentage of defendants by remand status","2010","All","All","White","Custody","26633","82428","32.3"
"percentage of defendants by remand status","2010","All","All","White","Not remanded","10984","82428","13.3"
"percentage of defendants by remand status","2011","All","All","Asian","Bail","4707","8312","56.6"
"percentage of defendants by remand status","2011","All","All","Asian","Custody","2887","8312","34.7"
"percentage of defendants by remand status","2011","All","All","Asian","Not remanded","718","8312","8.6"
"percentage of defendants by remand status","2011","All","All","Black","Bail","5396","12110","44.6"
"percentage of defendants by remand status","2011","All","All","Black","Custody","5544","12110","45.8"
"percentage of defendants by remand status","2011","All","All","Black","Not remanded","1170","12110","9.7"
"percentage of defendants by remand status","2011","All","All","Mixed","Bail","1616","3488","46.3"
"percentage of defendants by remand status","2011","All","All","Mixed","Custody","1467","3488","42.1"
"percentage of defendants by remand status","2011","All","All","Mixed","Not remanded","405","3488","11.6"
"percentage of defendants by remand status","2011","All","All","Other inc Chinese","Bail","870","2054","42.4"
"percentage of defendants by remand status","2011","All","All","Other inc Chinese","Custody","938","2054","45.7"
"percentage of defendants by remand status","2011","All","All","Other inc Chinese","Not remanded","246","2054","12.0"
"percentage of defendants by remand status","2011","All","All","White","Bail","42355","82994","51.0"
"percentage of defendants by remand status","2011","All","All","White","Custody","28274","82994","34.1"
"percentage of defendants by remand status","2011","All","All","White","Not remanded","12365","82994","14.9"
"percentage of defendants by remand status","2012","All","All","Asian","Bail","4052","7294","55.6"
"percentage of defendants by remand status","2012","All","All","Asian","Custody","2526","7294","34.6"
"percentage of defendants by remand status","2012","All","All","Asian","Not remanded","716","7294","9.8"
"percentage of defendants by remand status","2012","All","All","Black","Bail","4580","10468","43.8"
"percentage of defendants by remand status","2012","All","All","Black","Custody","4743","10468","45.3"
"percentage of defendants by remand status","2012","All","All","Black","Not remanded","1145","10468","10.9"
"percentage of defendants by remand status","2012","All","All","Mixed","Bail","1380","3141","43.9"
"percentage of defendants by remand status","2012","All","All","Mixed","Custody","1304","3141","41.5"
"percentage of defendants by remand status","2012","All","All","Mixed","Not remanded","457","3141","14.5"
"percentage of defendants by remand status","2012","All","All","Other inc Chinese","Bail","749","1823","41.1"
"percentage of defendants by remand status","2012","All","All","Other inc Chinese","Custody","813","1823","44.6"
"percentage of defendants by remand status","2012","All","All","Other inc Chinese","Not remanded","261","1823","14.3"
"percentage of defendants by remand status","2012","All","All","White","Bail","35535","71817","49.5"
"percentage of defendants by remand status","2012","All","All","White","Custody","23803","71817","33.1"
"percentage of defendants by remand status","2012","All","All","White","Not remanded","12479","71817","17.4"
"percentage of defendants by remand status","2013","All","All","Asian","Bail","3772","6852","55.0"
"percentage of defendants by remand status","2013","All","All","Asian","Custody","2383","6852","34.8"
"percentage of defendants by remand status","2013","All","All","Asian","Not remanded","697","6852","10.2"
"percentage of defendants by remand status","2013","All","All","Black","Bail","4052","9516","42.6"
"percentage of defendants by remand status","2013","All","All","Black","Custody","4377","9516","46.0"
"percentage of defendants by remand status","2013","All","All","Black","Not remanded","1087","9516","11.4"
"percentage of defendants by remand status","2013","All","All","Mixed","Bail","1238","2921","42.4"
"percentage of defendants by remand status","2013","All","All","Mixed","Custody","1257","2921","43.0"
"percentage of defendants by remand status","2013","All","All","Mixed","Not remanded","426","2921","14.6"
"percentage of defendants by remand status","2013","All","All","Other inc Chinese","Bail","662","1646","40.2"
"percentage of defendants by remand status","2013","All","All","Other inc Chinese","Custody","770","1646","46.8"
"percentage of defendants by remand status","2013","All","All","Other inc Chinese","Not remanded","214","1646","13.0"
"percentage of defendants by remand status","2013","All","All","White","Bail","31888","67508","47.2"
"percentage of defendants by remand status","2013","All","All","White","Custody","23460","67508","34.8"
"percentage of defendants by remand status","2013","All","All","White","Not remanded","12160","67508","18.0"
"percentage of defendants by remand status","2014","All","All","Asian","Bail","3567","6637","53.7"
"percentage of defendants by remand status","2014","All","All","Asian","Custody","2454","6637","37.0"
"percentage of defendants by remand status","2014","All","All","Asian","Not remanded","616","6637","9.3"
"percentage of defendants by remand status","2014","All","All","Black","Bail","4022","9313","43.2"
"percentage of defendants by remand status","2014","All","All","Black","Custody","4388","9313","47.1"
"percentage of defendants by remand status","2014","All","All","Black","Not remanded","903","9313","9.7"
"percentage of defendants by remand status","2014","All","All","Mixed","Bail","1177","2810","41.9"
"percentage of defendants by remand status","2014","All","All","Mixed","Custody","1259","2810","44.8"
"percentage of defendants by remand status","2014","All","All","Mixed","Not remanded","374","2810","13.3"
"percentage of defendants by remand status","2014","All","All","Other inc Chinese","Bail","684","1532","44.6"
"percentage of defendants by remand status","2014","All","All","Other inc Chinese","Custody","678","1532","44.3"
"percentage of defendants by remand status","2014","All","All","Other inc Chinese","Not remanded","170","1532","11.1"
"percentage of defendants by remand status","2014","All","All","White","Bail","32521","68156","47.7"
"percentage of defendants by remand status","2014","All","All","White","Custody","25111","68156","36.8"
"percentage of defendants by remand status","2014","All","All","White","Not remanded","10524","68156","15.4"
"percentage of defendants by remand status","2015","All","All","Asian","Bail","3676","6744","54.5"
"percentage of defendants by remand status","2015","All","All","Asian","Custody","2478","6744","36.7"
"percentage of defendants by remand status","2015","All","All","Asian","Not remanded","590","6744","8.7"
"percentage of defendants by remand status","2015","All","All","Black","Bail","4035","9151","44.1"
"percentage of defendants by remand status","2015","All","All","Black","Custody","4190","9151","45.8"
"percentage of defendants by remand status","2015","All","All","Black","Not remanded","926","9151","10.1"
"percentage of defendants by remand status","2015","All","All","Mixed","Bail","1280","2801","45.7"
"percentage of defendants by remand status","2015","All","All","Mixed","Custody","1199","2801","42.8"
"percentage of defendants by remand status","2015","All","All","Mixed","Not remanded","322","2801","11.5"
"percentage of defendants by remand status","2015","All","All","Other inc Chinese","Bail","728","1588","45.8"
"percentage of defendants by remand status","2015","All","All","Other inc Chinese","Custody","694","1588","43.7"
"percentage of defendants by remand status","2015","All","All","Other inc Chinese","Not remanded","166","1588","10.5"
"percentage of defendants by remand status","2015","All","All","White","Bail","33188","67403","49.2"
"percentage of defendants by remand status","2015","All","All","White","Custody","24623","67403","36.5"
"percentage of defendants by remand status","2015","All","All","White","Not remanded","9592","67403","14.2"
"percentage of defendants by remand status","2016","All","All","Asian","Bail","3237","6203","52.2"
"percentage of defendants by remand status","2016","All","All","Asian","Custody","2251","6203","36.3"
