"Title","Remands in custody by ethnicity and age group"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics (December 2017)"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Year","Ethnicity and age group","%","Number"
"2017","Asian Adults","36.6","1,791"
"2017","Black Adults","42.3","2,861"
"2017","Mixed Adults","43.9","736"
"2017","Other inc Chinese Adults","39.3","395"
"2017","White Adults","36.3","17,136"
"2017","Asian Young adults","32.9","229"
"2017","Black Young adults","42.8","611"
"2017","Mixed Young adults","42.3","174"
"2017","Other inc Chinese Young adults","46.8","59"
"2017","White Young adults","30.8","1,446"
"2017","Asian Juveniles","43.0","34"
"2017","Black Juveniles","50.9","114"
"2017","Mixed Juveniles","41.5","27"
"2017","Other inc Chinese Juveniles","55.0","11"
"2017","White Juveniles","31.3","198"
"2016","Asian Adults","36.8","1,984"
"2016","Black Adults","42.7","3,164"
"2016","Mixed Adults","42.0","833"
"2016","Other inc Chinese Adults","37.9","455"
"2016","White Adults","35.3","19,020"
"2016","Asian Young adults","31.2","219"
"2016","Black Young adults","42.6","611"
"2016","Mixed Young adults","37.3","168"
"2016","Other inc Chinese Young adults","49.3","67"
"2016","White Young adults","31.4","1,699"
"2016","Asian Juveniles","42.9","48"
"2016","Black Juveniles","48.6","101"
"2016","Mixed Juveniles","42.9","33"
"2016","Other inc Chinese Juveniles","47.6","10"
"2016","White Juveniles","25.8","175"
"2015","Asian Adults","36.9","2,160"
"2015","Black Adults","45.3","3,394"
"2015","Mixed Adults","43.5","966"
"2015","Other inc Chinese Adults","43.9","608"
"2015","White Adults","36.9","22,114"
"2015","Asian Young adults","35.9","275"
"2015","Black Young adults","47.8","677"
"2015","Mixed Young adults","41.5","195"
"2015","Other inc Chinese Young adults","41.1","67"
"2015","White Young adults","33.8","2,231"
"2015","Asian Juveniles","34.1","43"
"2015","Black Juveniles","47.8","119"
"2015","Mixed Juveniles","34.5","38"
"2015","Other inc Chinese Juveniles","48.7","19"
"2015","White Juveniles","30.6","278"
"2014","Asian Adults","37.8","2,134"
"2014","Black Adults","46.9","3,582"
"2014","Mixed Adults","44.8","967"
"2014","Other inc Chinese Adults","43.6","597"
"2014","White Adults","37.2","22,303"
"2014","Asian Young adults","34.6","286"
"2014","Black Young adults","48.1","658"
"2014","Mixed Young adults","45.0","234"
"2014","Other inc Chinese Young adults","46.0","64"
"2014","White Young adults","34.7","2,483"
"2014","Asian Juveniles","21.4","34"
"2014","Black Juveniles","47.3","148"
"2014","Mixed Juveniles","43.6","58"
"2014","Other inc Chinese Juveniles","68.0","17"
"2014","White Juveniles","29.9","325"
"2013","Asian Adults","35.0","2,045"
"2013","Black Adults","45.3","3,472"
"2013","Mixed Adults","42.8","940"
"2013","Other inc Chinese Adults","46.3","690"
"2013","White Adults","34.7","20,485"
"2013","Asian Young adults","35.0","293"
"2013","Black Young adults","50.2","720"
"2013","Mixed Young adults","43.8","247"
"2013","Other inc Chinese Young adults","53.4","71"
"2013","White Young adults","35.5","2,587"
"2013","Asian Juveniles","25.6","45"
"2013","Black Juveniles","44.9","185"
"2013","Mixed Juveniles","43.8","70"
"2013","Other inc Chinese Juveniles","37.5","9"
"2013","White Juveniles","33.5","388"
"2012","Asian Adults","34.8","2,096"
"2012","Black Adults","44.4","3,617"
"2012","Mixed Adults","41.1","944"
"2012","Other inc Chinese Adults","43.3","676"
"2012","White Adults","33.1","20,247"
"2012","Asian Young adults","34.2","358"
"2012","Black Young adults","47.6","859"
"2012","Mixed Young adults","43.4","294"
"2012","Other inc Chinese Young adults","55.0","111"
"2012","White Young adults","33.8","3,114"
"2012","Asian Juveniles","32.6","72"
"2012","Black Juveniles","51.0","267"
"2012","Mixed Juveniles","39.5","66"
"2012","Other inc Chinese Juveniles","42.6","26"
"2012","White Juveniles","31.3","442"
"2011","Asian Adults","34.6","2,349"
"2011","Black Adults","44.2","4,170"
"2011","Mixed Adults","42.8","1,054"
"2011","Other inc Chinese Adults","44.7","781"
"2011","White Adults","34.0","23,462"
"2011","Asian Young adults","33.9","431"
"2011","Black Young adults","51.2","1,077"
"2011","Mixed Young adults","39.3","319"
"2011","Other inc Chinese Young adults","50.6","128"
"2011","White Young adults","34.2","4,184"
"2011","Asian Juveniles","41.6","107"
"2011","Black Juveniles","51.4","297"
"2011","Mixed Juveniles","44.3","94"
"2011","Other inc Chinese Juveniles","54.9","28"
"2011","White Juveniles","35.8","628"
"2010","Asian Adults","34.1","2,308"
"2010","Black Adults","44.9","4,177"
"2010","Mixed Adults","38.6","859"
"2010","Other inc Chinese Adults","50.7","970"
"2010","White Adults","32.3","21,917"
"2010","Asian Young adults","35.3","426"
"2010","Black Young adults","46.1","907"
"2010","Mixed Young adults","43.8","326"
"2010","Other inc Chinese Young adults","45.6","99"
"2010","White Young adults","31.9","4,078"
"2010","Asian Juveniles","40.8","95"
"2010","Black Juveniles","55.0","289"
"2010","Mixed Juveniles","42.2","84"
"2010","Other inc Chinese Juveniles","52.3","23"
"2010","White Juveniles","35.7","638"
"2009","Asian Adults","36.9","1,928"
"2009","Black Adults","47.4","3,720"
"2009","Mixed Adults","42.3","676"
"2009","Other inc Chinese Adults","52.9","816"
"2009","White Adults","31.8","17,198"
"2009","Asian Young adults","34.7","303"
"2009","Black Young adults","49.1","751"
"2009","Mixed Young adults","45.5","244"
"2009","Other inc Chinese Young adults","42.9","69"
"2009","White Young adults","31.0","3,228"
"2009","Asian Juveniles","34.3","72"
"2009","Black Juveniles","52.8","239"
"2009","Mixed Juveniles","47.6","81"
"2009","Other inc Chinese Juveniles","56.5","26"
"2009","White Juveniles","37.1","680"
