"Year","Ethnicity and sex","%","Number"
"2009","Asian Female","24.5","94"
"2009","Black Female","37.7","422"
"2009","Mixed Female","19.4","43"
"2009","Other inc Chinese Female","45.7","84"
"2009","White Female","18.4","1,404"
"2009","Asian Male","37.3","2,209"
"2009","Black Male","49.2","4,288"
"2009","Mixed Male","46.0","958"
"2009","Other inc Chinese Male","52.8","827"
"2009","White Male","33.5","19,702"
"2010","Asian Female","22.0","98"
"2010","Black Female","32.9","410"
"2010","Mixed Female","21.7","86"
"2010","Other inc Chinese Female","42.1","107"
"2010","White Female","18.2","1,692"
"2010","Asian Male","35.2","2,731"
"2010","Black Male","47.0","4,963"
"2010","Mixed Male","42.7","1,183"
"2010","Other inc Chinese Male","51.2","985"
"2010","White Male","34.1","24,941"
"2011","Asian Female","22.2","104"
"2011","Black Female","28.6","357"
"2011","Mixed Female","28.4","112"
"2011","Other inc Chinese Female","35.6","80"
"2011","White Female","20.3","1,873"
"2011","Asian Male","35.5","2,783"
"2011","Black Male","47.7","5,187"
"2011","Mixed Male","43.8","1,355"
"2011","Other inc Chinese Male","46.9","857"
"2011","White Male","35.8","26,401"
"2012","Asian Female","19.2","79"
"2012","Black Female","25.6","232"
"2012","Mixed Female","22.2","80"
"2012","Other inc Chinese Female","32.0","66"
"2012","White Female","19.8","1,545"
"2012","Asian Male","35.6","2,447"
"2012","Black Male","47.2","4,511"
"2012","Mixed Male","44.0","1,224"
"2012","Other inc Chinese Male","46.2","747"
"2012","White Male","34.8","22,258"
"2013","Asian Female","18.2","62"
"2013","Black Female","27.1","207"
"2013","Mixed Female","23.5","64"
"2013","Other inc Chinese Female","31.0","52"
"2013","White Female","20.0","1,381"
"2013","Asian Male","35.6","2,321"
"2013","Black Male","47.6","4,170"
"2013","Mixed Male","45.0","1,193"
"2013","Other inc Chinese Male","48.6","718"
"2013","White Male","36.4","22,079"
"2014","Asian Female","20.7","68"
"2014","Black Female","30.6","205"
"2014","Mixed Female","24.2","64"
"2014","Other inc Chinese Female","27.3","51"
"2014","White Female","23.6","1,673"
"2014","Asian Male","37.8","2,386"
"2014","Black Male","48.4","4,183"
"2014","Mixed Male","47.0","1,195"
"2014","Other inc Chinese Male","46.6","627"
"2014","White Male","38.4","23,438"
"2015","Asian Female","20.3","74"
"2015","Black Female","24.2","180"
"2015","Mixed Female","21.6","63"
"2015","Other inc Chinese Female","26.0","51"
"2015","White Female","21.0","1,514"
"2015","Asian Male","37.7","2,404"
"2015","Black Male","47.7","4,010"
"2015","Mixed Male","45.3","1,136"
"2015","Other inc Chinese Male","46.2","643"
"2015","White Male","38.4","23,109"
"2016","Asian Female","23.2","72"
"2016","Black Female","23.0","151"
"2016","Mixed Female","24.9","58"
"2016","Other inc Chinese Female","26.1","31"
"2016","White Female","22.1","1,357"
"2016","Asian Male","37.0","2,179"
"2016","Black Male","44.4","3,725"
"2016","Mixed Male","42.9","976"
"2016","Other inc Chinese Male","40.5","501"
"2016","White Male","36.3","19,537"
"2017","Asian Female","22.1","60"
"2017","Black Female","22.7","123"
"2017","Mixed Female","27.2","56"
"2017","Other inc Chinese Female","34.6","37"
"2017","White Female","24.7","1,309"
"2017","Asian Male","36.9","1,994"
"2017","Black Male","44.0","3,463"
"2017","Mixed Male","45.2","881"
"2017","Other inc Chinese Male","41.0","428"
"2017","White Male","37.0","17,471"
