"Title","Science attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Gender","Ethnicity",""
"Boys","All","79"
"Boys","Asian","77"
"Boys","Bangladeshi","75"
"Boys","Indian","84"
"Boys","Pakistani","73"
"Boys","Asian other","79"
"Boys","Black","76"
"Boys","Black African","77"
"Boys","Black Caribbean","75"
"Boys","Black other","75"
"Boys","Chinese","83"
"Boys","Mixed","80"
"Boys","Mixed White/Asian","84"
"Boys","Mixed White/Black African","81"
"Boys","Mixed White/Black Caribbean","76"
"Boys","Mixed other","80"
"Boys","White","80"
"Boys","White British","81"
"Boys","White Irish","84"
"Boys","White Irish Traveller","42"
"Boys","White Gypsy/Roma","37"
"Boys","White other","74"
"Boys","Other","73"
"Girls","All","84"
"Girls","Asian","83"
"Girls","Bangladeshi","82"
"Girls","Indian","89"
"Girls","Pakistani","78"
"Girls","Asian other","86"
"Girls","Black","83"
"Girls","Black African","84"
"Girls","Black Caribbean","81"
"Girls","Black other","82"
"Girls","Chinese","88"
"Girls","Mixed","86"
"Girls","Mixed White/Asian","89"
"Girls","Mixed White/Black African","85"
"Girls","Mixed White/Black Caribbean","83"
"Girls","Mixed other","86"
"Girls","White","85"
"Girls","White British","86"
"Girls","White Irish","88"
"Girls","White Irish Traveller","52"
"Girls","White Gypsy/Roma","42"
"Girls","White other","78"
"Girls","Other","78"
