"Title","Police officers by ethnicity and area"
"Location","England and Wales"
"Time period","2017"
"Data source","Police workforce, England and Wales, 31 March 2017"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Police force area","% officers","% Population ","Number of police officers"
"Asian","All - excluding BTP","2.6","6.8","3,104"
"Asian","Avon & Somerset","0.3","2.1","8"
"Asian","Bedfordshire","4.8","13.2","53"
"Asian","British Transport Police","4.2","N/A","108"
"Asian","Cambridgeshire","1.1","4.9","14"
"Asian","Cheshire","0.4","1.2","8"
"Asian","Cleveland","1.3","3.1","16"
"Asian","Cumbria","0.4","0.6","4"
"Asian","Derbyshire","2.4","3.6","41"
"Asian","Devon & Cornwall","0.2","0.7","4"
"Asian","Dorset","0.2","1.4","3"
"Asian","Durham","0.6","0.8","7"
"Asian","Dyfed-Powys","0.2","0.8","2"
"Asian","Essex","0.3","2.3","8"
"Asian","Gloucestershire","0.6","1.8","6"
"Asian","Greater Manchester","2.9","9.2","182"
"Asian","Gwent","0.8","1.7","9"
"Asian","Hampshire","1.0","3.0","28"
"Asian","Hertfordshire","1.7","5.7","34"
"Asian","Humberside","0.4","1.3","6"
"Asian","Kent","1.2","3.1","39"
"Asian","Lancashire","2.2","7.4","60"
"Asian","Leicestershire","4.9","15.3","87"
"Asian","Lincolnshire","0.5","0.8","5"
"Asian","London, City of","2.2","N/A","15"
"Asian","Merseyside","0.3","1.4","12"
"Asian","Metropolitan Police","5.2","17.0","1,636"
"Asian","Norfolk","0.2","1.1","3"
"Asian","North Wales","0.2","0.9","3"
"Asian","North Yorkshire","0.4","1.2","5"
"Asian","Northamptonshire","1.0","3.3","11"
"Asian","Northumbria","0.5","2.7","15"
"Asian","Nottinghamshire","2.1","4.4","39"
"Asian","South Wales","0.6","2.8","16"
"Asian","South Yorkshire","1.9","4.1","47"
"Asian","Staffordshire","0.8","3.2","14"
"Asian","Suffolk","0.1","1.5","1"
"Asian","Surrey","1.2","4.8","20"
"Asian","Sussex","0.2","2.5","6"
"Asian","Thames Valley","1.6","8.5","66"
"Asian","Warwickshire","3.9","4.2","32"
