"","Asian","","","Black","","","Mixed","","","White","","","Other","","","Unknown","",""
"Police force area","% officers","% Population ","Number of police officers","% officers","% Population ","Number of police officers","% officers","% Population ","Number of police officers","% officers","% Population ","Number of police officers","% officers","% Population ","Number of police officers","% officers","% Population ","Number of police officers"
"All - excluding BTP","2.6","6.8","3,104","1.2","3.3","1,432","1.8","2.2","2,185","93.7","86.0","112,954","0.7","1.7","851","N/A","N/A","2,616"
"Avon & Somerset","0.3","2.1","8","0.3","1.9","8","1.8","1.8","44","97.2","93.3","2,331","0.3","1.0","7","N/A","N/A","270"
"Bedfordshire","4.8","13.2","53","1.4","4.8","15","2.5","3.0","28","91.2","77.5","1,006","0.1","1.4","1","N/A","N/A","16"
"British Transport Police","4.2","N/A","108","2.6","N/A","68","2.7","N/A","70","90.0","N/A","2,330","0.5","N/A","14","N/A","N/A","89"
"Cambridgeshire","1.1","4.9","14","0.2","1.3","3","1.3","2.0","17","97.2","90.3","1,292","0.2","1.6","3","N/A","N/A","17"
"Cheshire","0.4","1.2","8","0.2","0.3","4","0.8","1.0","15","98.6","96.9","1,912","0.0","0.5"," -   ","N/A","N/A","69"
"Cleveland","1.3","3.1","16","0.1","0.6","1","0.3","1.0","4","98.2","94.5","1,238","0.1","0.8","1","N/A","N/A","22"
"Cumbria","0.4","0.6","4","0.2","0.1","2","0.4","0.5","4","99.0","98.5","1,095","0.1","0.3","1","N/A","N/A","6"
"Derbyshire","2.4","3.6","41","0.3","1.0","4","0.8","1.4","13","96.4","93.3","1,647","0.2","0.7","3","N/A","N/A","2"
"Devon & Cornwall","0.2","0.7","4","0.2","0.2","5","0.9","0.9","21","98.5","97.5","2,252","0.2","0.6","5","N/A","N/A","628"
"Dorset","0.2","1.4","3","0.2","0.4","2","0.9","1.3","12","98.6","96.0","1,209","0.1","0.8","1","N/A","N/A","39"
"Durham","0.6","0.8","7","0.1","0.2","1","1.0","0.7","11","98.2","97.8","1,122","0.1","0.5","1","N/A","N/A","2"
"Dyfed-Powys","0.2","0.8","2","0.1","0.2","1","0.5","0.6","5","99.1","98.0","1,013","0.1","0.4","1","N/A","N/A","138"
"Essex","0.3","2.3","8","0.2","2.0","5","1.5","1.6","42","97.9","93.2","2,751","0.2","0.9","5","N/A","N/A","8"
"Gloucestershire","0.6","1.8","6","0.4","0.9","4","1.0","1.5","11","97.6","95.4","1,036","0.4","0.5","4","N/A","N/A","28"
"Greater Manchester","2.9","9.2","182","0.6","2.8","36","1.9","2.3","120","94.0","83.8","5,941","0.6","2.0","39","N/A","N/A"," -   "
"Gwent","0.8","1.7","9","0.5","0.6","6","0.7","1.0","8","97.8","96.1","1,131","0.2","0.6","2","N/A","N/A","22"
"Hampshire","1.0","3.0","28","0.2","0.9","6","1.3","1.6","35","97.0","93.3","2,689","0.5","1.1","14","N/A","N/A","125"
"Hertfordshire","1.7","5.7","34","0.7","2.8","13","1.8","2.5","35","95.8","87.6","1,855","0.1","1.4","1","N/A","N/A","16"
"Humberside","0.4","1.3","6","0.4","0.5","6","0.6","0.9","10","98.6","96.5","1,589","0.0","0.8"," -   ","N/A","N/A","30"
"Kent","1.2","3.1","39","0.2","1.3","5","1.5","1.6","47","97.0","93.1","3,127","0.2","0.9","8","N/A","N/A","33"
"Lancashire","2.2","7.4","60","0.1","0.4","3","1.7","1.1","46","95.8","90.4","2,598","0.2","0.7","5","N/A","N/A","138"
"Leicestershire","4.9","15.3","87","0.7","2.4","13","2.0","2.0","36","92.2","78.4","1,634","0.1","1.9","2","N/A","N/A","31"
"Lincolnshire","0.5","0.8","5","0.6","0.4","6","1.0","0.9","11","97.9","97.6","1,043","0.0","0.4"," -   ","N/A","N/A","22"
"London, City of","2.2","N/A","15","1.6","N/A","11","1.8","N/A","12","94.2","N/A","643","0.3","N/A","2","N/A","N/A","2"
"Merseyside","0.3","1.4","12","0.6","1.1","20","1.9","1.5","68","96.6","94.5","3,388","0.5","1.6","18","N/A","N/A","32"
"Metropolitan Police","5.2","17.0","1,636","3.2","13.3","998","3.0","5.0","956","86.6","59.8","27,181","2.0","5.0","623","N/A","N/A","122"
"Norfolk","0.2","1.1","3","0.5","0.5","7","0.9","1.2","13","98.2","96.5","1,478","0.2","0.6","3","N/A","N/A","11"
