"Title","Self-employment in the UK by ethnicity over time"
"Location","UK"
"Time period","2011 to 2016"
"Data source","Labour Force Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/labourforcesurveylfsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","October 2017"

"","Ethnicity","%"
"2011","Black","8.1"
"2011","Indian","11.5"
"2011","Mixed","11.7"
"2011","Pakistani/Bangladeshi","21.4"
"2011","White","14.0"
"2011","Other","15.1"
"2012","Black","9.9"
"2012","Indian","13.2"
"2012","Mixed","11.6"
"2012","Pakistani/Bangladeshi","22.8"
"2012","White","14.3"
"2012","Other","15.0"
"2013","Black","9.9"
"2013","Indian","13.6"
"2013","Mixed","11.2"
"2013","Pakistani/Bangladeshi","20.6"
"2013","White","14.4"
"2013","Other","15.0"
"2014","Black","10.2"
"2014","Indian","12.2"
"2014","Mixed","14.8"
"2014","Pakistani/Bangladeshi","21.0"
"2014","White","14.8"
"2014","Other","16.9"
"2015","Black","10.9"
"2015","Indian","13.7"
"2015","Mixed","11.3"
"2015","Pakistani/Bangladeshi","21.8"
"2015","White","14.8"
"2015","Other","15.0"
"2016","Black","10.7"
"2016","Indian","14.0"
"2016","Mixed","14.6"
"2016","Pakistani/Bangladeshi","22.1"
"2016","White","15.2"
"2016","Other","16.5"
