"Title","Self-employment"
"Location","UK"
"Time period","2011 to 2016"
"Data source","Department for Business, Energy & Industrial Strategy"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/labourforcesurveylfsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","October 2017"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note",""
"Self-employment in the labour force","2011","Year","Black","ONS defined grouping (consistent with NOMIS)","8.10%"," 673,100 "," 54,800 ","NA","NA","",""
"Self-employment in the labour force","2011","Year","Indian","ONS defined grouping (consistent with NOMIS)","11.50%"," 752,400 "," 86,900 ","NA","NA","",""
"Self-employment in the labour force","2011","Year","Mixed","ONS defined grouping (consistent with NOMIS)","11.70%"," 240,900 "," 28,300 ","NA","NA","",""
"Self-employment in the labour force","2011","Year","Other","ONS defined grouping (consistent with NOMIS)","15.10%"," 808,900 "," 121,800 ","NA","NA","",""
"Self-employment in the labour force","2011","Year","Pakistani/Bangladeshi","ONS defined grouping (consistent with NOMIS)","21.40%"," 480,900 "," 103,000 ","NA","NA","",""
"Self-employment in the labour force","2011","Year","Total","ONS defined grouping (consistent with NOMIS)","13.90%"," 29,173,400 "," 4,058,700 ","NA","NA","",""
"Self-employment in the labour force","2011","Year","Unreported","ONS defined grouping (consistent with NOMIS)","?","?","?","NA","NA","Suppressed",""
"Self-employment in the labour force","2011","Year","White","ONS defined grouping (consistent with NOMIS)","14.00%"," 26,199,800 "," 3,660,000 ","NA","NA","",""
"Self-employment in the labour force","2012","Year","Black","ONS defined grouping (consistent with NOMIS)","9.90%"," 700,400 "," 69,500 ","NA","NA","",""
"Self-employment in the labour force","2012","Year","Indian","ONS defined grouping (consistent with NOMIS)","13.20%"," 751,600 "," 98,900 ","NA","NA","",""
"Self-employment in the labour force","2012","Year","Mixed","ONS defined grouping (consistent with NOMIS)","11.60%"," 250,400 "," 29,100 ","NA","NA","",""
"Self-employment in the labour force","2012","Year","Other","ONS defined grouping (consistent with NOMIS)","15.00%"," 835,700 "," 125,800 ","NA","NA","",""
"Self-employment in the labour force","2012","Year","Pakistani/Bangladeshi","ONS defined grouping (consistent with NOMIS)","22.80%"," 506,300 "," 115,200 ","NA","NA","",""
