"Title","NHS workforce by ethnicity and type of role"
"Location","England"
"Time period","2017"
"Data source","NHS Workforce Statistics"
"Data source link","https://digital.nhs.uk/catalogue/PUB30165"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Medical/ non-medical","Ethnicity","%","Headcount"
"Medical","All","100.0","106,677"
"Medical","Asian","28.5","30,398"
"Medical","Black","4.0","4,256"
"Medical","Chinese","2.5","2,684"
"Medical","Mixed","3.1","3,271"
"Medical","White","57.9","61,809"
"Medical","Other","4.0","4,259"
"Non-medical","All","100.0","1,043,619"
"Non-medical","Asian","7.4","77,133"
"Non-medical","Black","5.9","61,700"
"Non-medical","Chinese","0.3","3,619"
"Non-medical","Mixed","1.5","15,343"
"Non-medical","White","83.0","866,337"
"Non-medical","Other","1.9","19,487"
