"years after graduation","Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)"
"1 year after graduation","All","67.2","19.2"
"1 year after graduation","Bangladeshi","67.0","17.5"
"1 year after graduation","Chinese","54.8","23.0"
"1 year after graduation","Indian","67.0","19.3"
"1 year after graduation","Pakistani","60.5","20.8"
"1 year after graduation","Asian other","59.9","21.4"
"1 year after graduation","Black African","63.3","19.5"
"1 year after graduation","Black Caribbean","72.1","13.9"
"1 year after graduation","Black other","63.7","15.9"
"1 year after graduation","White","68.2","19.2"
"1 year after graduation","Other (including mixed)","63.2","19.4"
"3 years after graduation","All","72.9","13.6"
"3 years after graduation","Bangladeshi","76.4","9.2"
"3 years after graduation","Chinese","62.1","12.2"
"3 years after graduation","Indian","75.9","11.6"
"3 years after graduation","Pakistani","70.6","11.3"
"3 years after graduation","Asian other","65.4","15.4"
"3 years after graduation","Black African","64.9","16.3"
"3 years after graduation","Black Caribbean","74.8","11.5"
"3 years after graduation","Black other","62.9","14.5"
"3 years after graduation","White","73.9","13.7"
"3 years after graduation","Other (including mixed)","68.1","14.0"
"5 years after graduation","All","74.8","10.6"
"5 years after graduation","Bangladeshi","77.2","6.8"
"5 years after graduation","Chinese","62.6","9.1"
"5 years after graduation","Indian","78.4","7.9"
"5 years after graduation","Pakistani","71.8","8.4"
"5 years after graduation","Asian other","68.3","11.2"
"5 years after graduation","Black African","65.9","13.2"
"5 years after graduation","Black Caribbean","74.6","10.9"
"5 years after graduation","Black other","68.6","10.4"
"5 years after graduation","White","75.9","10.7"
"5 years after graduation","Other (including mixed)","69.1","11.2"
"10 years after graduation","All","76.8","5.8"
"10 years after graduation","Bangladeshi","76.9","4.4"
"10 years after graduation","Chinese","63.1","4.2"
"10 years after graduation","Indian","79.2","4.8"
"10 years after graduation","Pakistani","70.7","5.3"
"10 years after graduation","Asian other","69.5","7.5"
"10 years after graduation","Black African","66.5","7.7"
"10 years after graduation","Black Caribbean","77.1","6.5"
"10 years after graduation","Black other","67.6","7.3"
"10 years after graduation","White","77.9","5.8"
"10 years after graduation","Other (including mixed)","69.9","6.4"
