"Title","Destinations and earnings of graduates after higher education"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/graduate-outcomes-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-06-28"
"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Bangladeshi","LEO","activity not captured","4.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Indian","LEO","activity not captured","5.2","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Asian or Asian British - Pakistani","LEO","activity not captured","6.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - African","LEO","activity not captured","5.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Black or Black British - Caribbean","LEO","activity not captured","3.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Chinese","LEO","activity not captured","12.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Unknown","LEO","activity not captured","7.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other (including mixed)","LEO","activity not captured","6.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Asian Background","LEO","activity not captured","8.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","activity not captured","7.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","White","LEO","activity not captured","5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","activity not captured","5.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","activity not captured","6.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","activity not captured","9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","activity not captured","8.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","activity not captured","5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Chinese","LEO","activity not captured","18.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Unknown","LEO","activity not captured","10.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","activity not captured","9.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","activity not captured","11","%"
