"Title","Graduate destinations (further study or employment only) by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Graduate outcomes (LEO): 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/graduate-outcomes-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","15/03/2018"

"","1 year after graduation","","3 years after graduation","","5 years after graduation","","10 years after graduation",""
"Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)"
"All","67.2","19.2","72.9","13.6","74.8","10.6","76.8","5.8"
"Bangladeshi","67.0","17.5","76.4","9.2","77.2","6.8","76.9","4.4"
"Chinese","54.8","23.0","62.1","12.2","62.6","9.1","63.1","4.2"
"Indian","67.0","19.3","75.9","11.6","78.4","7.9","79.2","4.8"
"Pakistani","60.5","20.8","70.6","11.3","71.8","8.4","70.7","5.3"
"Asian other","59.9","21.4","65.4","15.4","68.3","11.2","69.5","7.5"
"Black African","63.3","19.5","64.9","16.3","65.9","13.2","66.5","7.7"
"Black Caribbean","72.1","13.9","74.8","11.5","74.6","10.9","77.1","6.5"
"Black other","63.7","15.9","62.9","14.5","68.6","10.4","67.6","7.3"
"White","68.2","19.2","73.9","13.7","75.9","10.7","77.9","5.8"
"Other (including mixed)","63.2","19.4","68.1","14.0","69.1","11.2","69.9","6.4"
