"","Higher managerial, administrative, professional","Lower managerial, administrative, professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked or long-term unemployed"
"Ethnicity","%","%","%","%","%","%","%","%"
"Asian","","","","","","","",""
"Bangladeshi","4","11","15","3","2","11","3","51"
"Chinese","11","16","9","3","3","8","3","47"
"Indian","13","22","14","3","3","10","4","31"
"Pakistani","5","13","12","3","2","11","4","50"
"Asian other","7","19","11","5","3","14","7","35"
"Black","","","","","","","",""
"Black African","6","19","9","3","2","16","8","36"
"Black Caribbean","6","21","17","3","3","15","6","30"
"Black other","8","26","14","!","!","14","4","33"
"Mixed","","","","","","","",""
"Mixed White/Asian","12","21","12","4","!","12","!","34"
"Mixed White/Black African","3","25","10","!","!","12","8","33"
"Mixed White/Black Caribbean","5","20","19","3","1","16","6","30"
"Mixed other","11","23","13","6","2","8","8","28"
"White","","","","","","","",""
"White British","7","20","15","5","3","13","6","32"
"White Irish","9","27","10","3","2","7","4","38"
"White other","10","20","11","8","5","13","13","21"
"Other","","","","","","","",""
"Arab","8","10","9","!","!","7","4","60"
"Any other","8","19","10","6","2","12","8","37"
