"NS-SEC","Ethnicity","%"
"Higher managerial, administrative, professional","Asian",""
"Higher managerial, administrative, professional","Bangladeshi","4"
"Higher managerial, administrative, professional","Chinese","11"
"Higher managerial, administrative, professional","Indian","13"
"Higher managerial, administrative, professional","Pakistani","5"
"Higher managerial, administrative, professional","Asian other","7"
"Higher managerial, administrative, professional","Black",""
"Higher managerial, administrative, professional","Black African","6"
"Higher managerial, administrative, professional","Black Caribbean","6"
"Higher managerial, administrative, professional","Black other","8"
"Higher managerial, administrative, professional","Mixed",""
"Higher managerial, administrative, professional","Mixed White/Asian","12"
"Higher managerial, administrative, professional","Mixed White/Black African","3"
"Higher managerial, administrative, professional","Mixed White/Black Caribbean","5"
"Higher managerial, administrative, professional","Mixed other","11"
"Higher managerial, administrative, professional","White",""
"Higher managerial, administrative, professional","White British","7"
"Higher managerial, administrative, professional","White Irish","9"
"Higher managerial, administrative, professional","White other","10"
"Higher managerial, administrative, professional","Other",""
"Higher managerial, administrative, professional","Arab","8"
"Higher managerial, administrative, professional","Any other","8"
"Lower managerial, administrative, professional","Asian",""
"Lower managerial, administrative, professional","Bangladeshi","11"
"Lower managerial, administrative, professional","Chinese","16"
"Lower managerial, administrative, professional","Indian","22"
"Lower managerial, administrative, professional","Pakistani","13"
"Lower managerial, administrative, professional","Asian other","19"
"Lower managerial, administrative, professional","Black",""
"Lower managerial, administrative, professional","Black African","19"
"Lower managerial, administrative, professional","Black Caribbean","21"
"Lower managerial, administrative, professional","Black other","26"
"Lower managerial, administrative, professional","Mixed",""
"Lower managerial, administrative, professional","Mixed White/Asian","21"
"Lower managerial, administrative, professional","Mixed White/Black African","25"
"Lower managerial, administrative, professional","Mixed White/Black Caribbean","20"
"Lower managerial, administrative, professional","Mixed other","23"
"Lower managerial, administrative, professional","White",""
"Lower managerial, administrative, professional","White British","20"
"Lower managerial, administrative, professional","White Irish","27"
"Lower managerial, administrative, professional","White other","20"
"Lower managerial, administrative, professional","Other",""
"Lower managerial, administrative, professional","Arab","10"
"Lower managerial, administrative, professional","Any other","19"
"Intermediate occupations","Asian",""
"Intermediate occupations","Bangladeshi","15"
"Intermediate occupations","Chinese","9"
"Intermediate occupations","Indian","14"
"Intermediate occupations","Pakistani","12"
"Intermediate occupations","Asian other","11"
"Intermediate occupations","Black",""
"Intermediate occupations","Black African","9"
"Intermediate occupations","Black Caribbean","17"
"Intermediate occupations","Black other","14"
"Intermediate occupations","Mixed",""
"Intermediate occupations","Mixed White/Asian","12"
"Intermediate occupations","Mixed White/Black African","10"
"Intermediate occupations","Mixed White/Black Caribbean","19"
"Intermediate occupations","Mixed other","13"
"Intermediate occupations","White",""
"Intermediate occupations","White British","15"
"Intermediate occupations","White Irish","10"
"Intermediate occupations","White other","11"
"Intermediate occupations","Other",""
"Intermediate occupations","Arab","9"
"Intermediate occupations","Any other","10"
"Small employers and own account workers","Asian",""
"Small employers and own account workers","Bangladeshi","3"
"Small employers and own account workers","Chinese","3"
"Small employers and own account workers","Indian","3"
"Small employers and own account workers","Pakistani","3"
"Small employers and own account workers","Asian other","5"
"Small employers and own account workers","Black",""
"Small employers and own account workers","Black African","3"
"Small employers and own account workers","Black Caribbean","3"
"Small employers and own account workers","Black other","!"
"Small employers and own account workers","Mixed",""
"Small employers and own account workers","Mixed White/Asian","4"
"Small employers and own account workers","Mixed White/Black African","!"
