"Title","Socio-economic groups by ethnicity"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"","Asian","Black","Mixed","White","Other"
"Socio-economic groups","%","%","%","%","%"
"Higher managerial/administrative/professional","7.5","2.1","1.3","88.2","1.0"
"Lower managerial/administrative/professional","4.9","2.7","1.3","90.5","0.6"
"Intermediate occupations","4.8","2.4","1.2","91.0","0.5"
"Small employers and own account workers","6.7","1.7","1.0","89.8","0.9"
"Lower supervisory and technical","4.7","2.1","1.1","91.5","0.7"
"Semi-routine occupations","5.7","3.0","1.3","89.4","0.6"
"Routine occupations","4.8","2.4","1.1","90.9","0.7"
"Never worked/long-term unemployed","17.5","6.2","2.5","71.1","2.7"
"Full-time students","15.1","6.5","3.7","72.3","2.3"
