"Title","Socioeconomic status"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-22"
"Measure","Ethnicity","NS-SEC","Geography","Sex","Value","Value_type","Source","Time period","Sample size"
"NS-SEC group by ethnicity","White","Higher managerial/administrative/professional","E&W","All","88.2","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","1.1 Large employers and higher managerial and administrative occupations","E&W","All","93.2","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","1.2 Higher professional occupations","E&W","All","86.7","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Lower managerial/administrative/professional","E&W","All","90.5","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Intermediate occupations","E&W","All","91","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Small employers and own account workers","E&W","All","89.8","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Lower supervisory and technical","E&W","All","91.5","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Semi-routine occupations","E&W","All","89.4","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Routine occupations","E&W","All","90.9","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Never worked/long-term unemployed","E&W","All","71.1","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","L14.1 Never worked","E&W","All","67.7","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","L14.2 Long-term unemployed","E&W","All","80.5","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Not classified","E&W","All","72.3","%","Census","2011","N/A"
"NS-SEC group by ethnicity","White","Full-time students","E&W","All","72.3","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Higher managerial/administrative/professional","E&W","All","1.3","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","1.1 Large employers and higher managerial and administrative occupations","E&W","All","1","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","1.2 Higher professional occupations","E&W","All","1.3","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Lower managerial/administrative/professional","E&W","All","1.3","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Intermediate occupations","E&W","All","1.2","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Small employers and own account workers","E&W","All","1","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Lower supervisory and technical","E&W","All","1.1","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Semi-routine occupations","E&W","All","1.3","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Routine occupations","E&W","All","1.1","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Never worked/long-term unemployed","E&W","All","2.5","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","L14.1 Never worked","E&W","All","2.4","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","L14.2 Long-term unemployed","E&W","All","2.8","%","Census","2011","N/A"
"NS-SEC group by ethnicity","Mixed","Not classified","E&W","All","3.7","%","Census","2011","N/A"
