"","Higher managerial, administrative, professional","Lower managerial, administrative, professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked or long-term unemployed"
"Ethnicity","%","%","%","%","%","%","%","%"
"Asian","","","","","","","",""
"Bangladeshi","8","13","6","12","10","14","8","28"
"Chinese","19","12","4","7","5","5","2","47"
"Indian","27","18","7","8","5","9","6","20"
"Pakistani","11","13","8","19","5","10","7","27"
"Asian other","12","14","6","12","7","14","8","27"
"Black","","","","","","","",""
"Black African","10","15","7","7","6","13","10","33"
"Black Caribbean","8","15","4","8","8","12","11","33"
"Black other","18","20","!","8","!","13","5","29"
"Mixed","","","","","","","",""
"Mixed White/Asian","19","22","12","6","7","5","1","29"
"Mixed White/Black African","16","11","4","9","2","13","14","31"
"Mixed White/Black Caribbean","8","21","10","5","7","13","7","29"
"Mixed other","17","24","7","6","6","8","7","26"
"White","","","","","","","",""
"White British","15","20","6","9","8","8","9","25"
"White Irish","20","19","6","10","6","4","7","27"
"White other","15","16","4","13","9","10","18","16"
"Other","","","","","","","",""
"Arab","12","11","4","11","6","11","6","40"
"Any other","12","13","6","12","6","12","11","27"
