"Title","Households under-occupying their home by ethnicity and area"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Region","%","Under-occupying households ('000s)","All households ('000s)"
"White British","North East","37","400","1,084"
"White British","North West","38","1,041","2,732"
"White British","Yorkshire and the Humber","39","782","2,002"
"White British","East Midlands","41","710","1,711"
"White British","West Midlands","42","830","1,963"
"White British","East","42","911","2,179"
"White British","London","32","558","1,721"
"White British","South East","41","1,329","3,204"
"White British","South West","43","958","2,221"
"Other than White British","North East","18","11","60"
"Other than White British","North West","21","75","351"
"Other than White British","Yorkshire and the Humber","20","50","255"
"Other than White British","East Midlands","22","52","236"
"Other than White British","West Midlands","24","91","385"
"Other than White British","East","27","90","334"
"Other than White British","London","16","260","1,654"
"Other than White British","South East","24","119","507"
"Other than White British","South West","21","36","172"
