"Title","Households under-occupying their home by ethnicity and age group"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Age group","%","Under-occupying households ('000s)","All households ('000s)"
"White British"," 16 - 24","12","70","562"
"White British"," 25 - 34","20","471","2,364"
"White British"," 35 - 44","25","708","2,855"
"White British"," 45 - 54","35","1,305","3,742"
"White British"," 55 - 64","50","1,646","3,295"
"White British"," 65 or over","55","3,321","5,998"
"Other than White British"," 16 - 24","8","17","201"
"Other than White British"," 25 - 34","10","96","944"
"Other than White British"," 35 - 44","15","168","1,110"
"Other than White British"," 45 - 54","20","162","803"
"Other than White British"," 55 - 64","33","143","436"
"Other than White British"," 65 or over","44","199","458"
