"Title","Households under-occupying their home by ethnicity and income"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Income band","%","Under-occupying households ('000s)","All households ('000s)"
"White British","Up to £99","14","27","196"
"White British","£100 to £199","27","432","1,576"
"White British","£200 to £299","34","742","2,164"
"White British","£300 to £399","37","794","2,144"
"White British","£400 to £499","37","648","1,749"
"White British","£500 to £599","38","629","1,648"
"White British","£600 to £699","40","614","1,548"
"White British","£700 to £799","42","525","1,258"
"White British","£800 to £899","45","490","1,095"
"White British","£900 to £999","43","377","887"
"White British","£1000 and above","50","2,203","4,439"
"Other than White British","Up to £99","12","6","53"
"Other than White British","£100 to £199","16","50","314"
"Other than White British","£200 to £299","20","81","400"
"Other than White British","£300 to £399","16","76","470"
"Other than White British","£400 to £499","15","59","392"
"Other than White British","£500 to £599","15","54","364"
"Other than White British","£600 to £699","20","64","326"
"Other than White British","£700 to £799","19","51","265"
"Other than White British","£800 to £899","16","37","232"
"Other than White British","£900 to £999","20","37","186"
"Other than White British","£1000 and above","29","265","917"
