"Title","Households under-occupying their home"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Tenure","Value","Numerator","Denominator","Sample_size"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","ONS 2011 18+1","England","All","All","All","All","All","40","7521","18816","33115"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White Irish","ONS 2011 18+1","England","All","All","All","All","All","36.7","67","181","324"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","All","?","?","?","16"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White Other","ONS 2011 18+1","England","All","All","All","All","All","17","195","1152","1793"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","All","18.5","18","97","154"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","All","18.2","14","78","137"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","All","41.1","24","59","97"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","All","17.6","8","44","75"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Indian","ONS 2011 18+1","England","All","All","All","All","All","29.4","152","517","773"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Pakistani","ONS 2011 18+1","England","All","All","All","All","All","19.5","66","338","545"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","All","13.9","17","121","226"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Chinese","ONS 2011 18+1","England","All","All","All","All","All","18.2","22","123","194"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Asian Other","ONS 2011 18+1","England","All","All","All","All","All","18.3","39","212","311"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Black African","ONS 2011 18+1","England","All","All","All","All","All","8.9","35","396","765"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","All","22.2","63","284","499"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Black Other","ONS 2011 18+1","England","All","All","All","All","All","35.8","12","34","60"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Arab","ONS 2011 18+1","England","All","All","All","All","All","11.5","8","69","113"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other","ONS 2011 18+1","England","All","All","All","All","All","17.5","42","240","380"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/35","Three years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","All","49.7","3803","7652","12398"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/36","Three years","White British","White British and Other","England","All","Intermediate occupations","All","All","All","39.5","1537","3887","6677"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/37","Three years","White British","White British and Other","England","All","Routine and manual occupations","All","All","All","28.8","1783","6195","12071"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","All","40.2","7122","17733","31146"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/39","Three years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","All","27.1","397","1467","2204"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/40","Three years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","All","17.5","130","740","1190"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/41","Three years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","All","13.7","184","1346","2389"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","All","20","711","3553","5783"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","Up to £99","All","All","14","27","196","384"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£100 to £199","All","All","27.4","432","1576","3182"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£200 to £299","All","All","34.3","742","2164","4317"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£300 to £399","All","All","37","794","2144","3964"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£400 to £499","All","All","37","648","1749","3236"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£500 to £599","All","All","38.2","629","1648","2872"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£600 to £699","All","All","39.7","614","1548","2682"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£700 to £799","All","All","41.7","525","1258","2116"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£800 to £899","All","All","44.8","490","1095","1759"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£900 to £999","All","All","42.5","377","887","1469"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","£1000 and above","All","All","49.6","2203","4439","6927"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","White British","White British and Other","England","All","All","All","All","All","40","7482","18703","32908"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","Up to £99","All","All","11.8","6","53","91"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£100 to £199","All","All","15.8","50","314","561"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£200 to £299","All","All","20.2","81","400","729"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£300 to £399","All","All","16.3","76","470","822"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£400 to £499","All","All","15","59","392","684"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£500 to £599","All","All","14.9","54","364","619"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£600 to £699","All","All","19.5","64","326","531"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£700 to £799","All","All","19.2","51","265","429"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£800 to £899","All","All","15.8","37","232","342"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£900 to £999","All","All","20.1","37","186","262"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","£1000 and above","All","All","28.9","265","917","1334"
"Percentage of households in England which are underoccupied","2014/15, 2015/16 and 2016/17 ","Three years","Other than White British","White British and Other","England","All","All","All","All","All","19.9","780","3918","6404"
