"","White British","","","Other than White British","",""
"Income band","%","Under-occupying households ('000s)","All households ('000s)","%","Under-occupying households ('000s)","All households ('000s)"
"Up to £99","14","27","196","12","6","53"
"£100 to £199","27","432","1,576","16","50","314"
"£200 to £299","34","742","2,164","20","81","400"
"£300 to £399","37","794","2,144","16","76","470"
"£400 to £499","37","648","1,749","15","59","392"
"£500 to £599","38","629","1,648","15","54","364"
"£600 to £699","40","614","1,548","20","64","326"
"£700 to £799","42","525","1,258","19","51","265"
"£800 to £899","45","490","1,095","16","37","232"
"£900 to £999","43","377","887","20","37","186"
"£1000 and above","50","2,203","4,439","29","265","917"
