"Title","People living in the most deprived 10% of neighbourhoods, by type of deprivation and ethnicity"
"Location","England"
"Time period","2012/13"
"Data source","English Indices of Deprivation 2015"
"Data source link","https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Education, training and skills %","Health deprivation and disability %","Crime %","Barriers to housing & services %","Living Environment %"
"Asian","14%","11%","18%","21%","18%"
"Bangladeshi","16%","14%","29%","39%","21%"
"Chinese","7%","11%","17%","17%","22%"
"Indian","8%","6%","14%","17%","12%"
"Pakistani","27%","19%","20%","21%","27%"
"Asian other","8%","8%","17%","19%","15%"
"Black","10%","11%","27%","30%","16%"
"Black African","11%","12%","28%","31%","16%"
"Black Caribbean","8%","9%","25%","28%","16%"
"Black other","10%","11%","28%","32%","17%"
"Mixed","11%","11%","18%","15%","15%"
"Mixed White/Asian","9%","9%","14%","12%","15%"
"Mixed White/Black African","11%","13%","21%","19%","15%"
"Mixed White/Black Caribbean","15%","14%","19%","15%","13%"
"Mixed other","8%","9%","18%","17%","16%"
"White","9%","10%","8%","9%","9%"
"White British","10%","10%","8%","8%","9%"
"White Irish","6%","8%","13%","12%","14%"
"White Gypsy/Traveller","15%","10%","14%","15%","11%"
"White other","8%","8%","18%","16%","20%"
"Other","9%","11%","21%","24%","21%"
"Arab","10%","14%","20%","26%","25%"
"Any other","9%","9%","21%","23%","19%"
