"Title","People living in the most deprived 10% of neighbourhoods, by ethnicity"
"Location","England"
"Time period","2012/13"
"Data source","English Indices of Deprivation 2015"
"Data source link","https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","%","Number"
"All","10.0","5,278,819"
"Asian","17.1","710,536"
"Bangladeshi","27.9","121,811"
"Chinese","9.7","36,801"
"Indian","8.3","116,462"
"Pakistani","30.9","343,535"
"Asian other","11.2","91,927"
"Black","19.6","362,280"
"Black African","20.0","195,782"
"Black Caribbean","18.1","106,988"
"Black other","21.4","59,510"
"Mixed","14.6","173,735"
"Mixed White/Asian","10.8","36,072"
"Mixed White/Black African","16.0","25,834"
"Mixed White/Black Caribbean","18.7","77,640"
"Mixed other","12.1","34,189"
"White","8.7","3,940,359"
"White British","8.6","3,648,558"
"White Irish","8.9","46,219"
"White Gypsy/Traveller","12.4","6,819"
"White other","9.8","238,763"
"Other","16.8","91,909"
"Arab","19.0","42,011"
"Any other","15.2","49,898"
