"Measure","Domain","decile_label","Ethnicity","Ethnicity_type","Value","Value_type","Numerator","Denominator"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","White: All","ONS 2011 18+1","8.70","%","3940359","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","White: British","ONS 2011 18+1","8.63","%","3648558","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","White: Irish","ONS 2011 18+1","8.94","%","46219","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","12.42","%","6819","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","White: White Other","ONS 2011 18+1","9.83","%","238763","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Asian: All","ONS 2011 18+1","17.15","%","710536","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Asian: Indian","ONS 2011 18+1","8.34","%","116462","1395702"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Asian: Pakistani","ONS 2011 18+1","30.89","%","343535","1112282"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Asian: Bangladeshi","ONS 2011 18+1","27.91","%","121811","436514"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Asian: Chinese","ONS 2011 18+1","9.70","%","36801","379503"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Asian: Asian Other","ONS 2011 18+1","11.22","%","91927","819402"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Black:  All","ONS 2011 18+1","19.62","%","362280","1846614"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Black:  Black African","ONS 2011 18+1","20.02","%","195782","977741"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Black:  Black Caribbean","ONS 2011 18+1","18.10","%","106988","591016"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Black:  Black Other","ONS 2011 18+1","21.42","%","59510","277857"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Mixed: All","ONS 2011 18+1","14.56","%","173735","1192879"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","18.68","%","77640","415616"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Mixed: White and Black African","ONS 2011 18+1","15.99","%","25834","161550"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Mixed: White and Asian","ONS 2011 18+1","10.84","%","36072","332708"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Mixed: Other Mixed","ONS 2011 18+1","12.08","%","34189","283005"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Other: All","ONS 2011 18+1","16.76","%","91909","548418"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Other: Arab","ONS 2011 18+1","19.01","%","42011","220985"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","Other: Any Other","ONS 2011 18+1","15.24","%","49898","327433"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% most deprived","All","ONS 2011 18+1","9.96","%","5278819","53012456"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","White: All","ONS 2011 18+1","8.79","%","3979982","45281142"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","White: British","ONS 2011 18+1","8.50","%","3595053","42279236"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","White: Irish","ONS 2011 18+1","10.75","%","55588","517001"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","12.95","%","7111","54895"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","White: White Other","ONS 2011 18+1","13.26","%","322230","2430010"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Asian: All","ONS 2011 18+1","15.96","%","661102","4143403"
"Percentage of people living in these neighbourhoods","Index of Multiple Deprivation","10% to 20% most deprived","Asian: Indian","ONS 2011 18+1","12.52","%","174785","1395702"
