"Title","Young people not in employment, education or training (NEET)"
"Location","UK"
"Time period","2014, 2015 and 2016 (combined)"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/aboutus/whatwedo/paidservices/virtualmicrodatalaboratoryvml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography_type","Age","Employment Status","Sex","Value","Upper 95% C.I.","Lower 95% C.I.","Value_type","Unknown Note"
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","12.8","13.1","12.5","%","This data includes people with unknown ethnicity, they have been included in the numerator and denominator and the value reflects a proportion or percentage of the total 16-24 population"
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","White: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","12.9","13.2","12.6","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Mixed: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","14","17.3","10.7","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Indian","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","10.9","13.9","7.9","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Pakistani","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","16.2","19.5","12.9","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Bangladeshi","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","15","20","10","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Chinese","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","6.2","10","2.4","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Other Asian","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","6.5","9.6","3.4","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Black: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","13.6","16.2","11","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Other: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","All","9.4","12.6","6.2","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","11.8","12.2","11.4","%","This data includes people with unknown ethnicity, they have been included in the numerator and denominator and the value reflects a proportion or percentage of the total 16-24 population"
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","White: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","11.9","12.3","11.5","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Mixed: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","14.4","19.3","9.5","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Indian","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","10.2","14.2","6.2","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Pakistani","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","15.8","20.4","11.2","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Bangladeshi","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","10.2","16.2","4.2","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Chinese","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male"," ? "," ? "," ? "," ? ",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Asian: Other Asian","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","5.6","9.8","1.4","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Black: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","14.3","18.2","10.4","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Other: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Male","7.3","11.2","3.4","%",""
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Female","13.8","14.2","13.4","%","This data includes people with unknown ethnicity, they have been included in the numerator and denominator and the value reflects a proportion or percentage of the total 16-24 population"
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","White: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Female","14","14.5","13.5","%","This data includes people with unknown ethnicity, they have been included in the numerator and denominator and the value reflects a proportion or percentage of the total 16-24 population"
"% of 16-24 year olds not in Employment, Education or Training, for interviews carried out at any time during the three-year period 2014-2016","Mixed: All","ONS 2011 18+1","2014-2016","3 years","United Kingdom","16-24","All","Female","13.7","18.2","9.2","%",""
