"Title","Percentage of staff by ethnicity and age"
"Location","United Kingdom"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnic group","Age","Value","Order"
"White","All Ages","88.80%","5"
"Mixed","All Ages","1.40%","4"
"Asian or Asian British","All Ages","5.80%","1"
"Black or Black British","All Ages","3.10%","2"
"Chinese","All Ages","0.30%","3"
"Other ethnic group","All Ages","0.50%","6"
"White","Aged 16-19","89.90%","5"
"Mixed","Aged 16-19","2.90%","4"
"Asian or Asian British","Aged 16-19","7.20%","1"
"Black or Black British","Aged 16-19","0.00%","2"
"Chinese","Aged 16-19","0.00%","3"
"Other ethnic group","Aged 16-19","!","6"
"White","Aged 20-29","84.20%","5"
"Mixed","Aged 20-29","2.60%","4"
"Asian or Asian British","Aged 20-29","9.50%","1"
"Black or Black British","Aged 20-29","2.70%","2"
"Chinese","Aged 20-29","0.40%","3"
"Other ethnic group","Aged 20-29","0.50%","6"
"White","Aged 30-39","85.90%","5"
"Mixed","Aged 30-39","1.90%","4"
"Asian or Asian British","Aged 30-39","8.50%","1"
"Black or Black British","Aged 30-39","2.70%","2"
"Chinese","Aged 30-39","0.40%","3"
"Other ethnic group","Aged 30-39","0.60%","6"
"White","Aged 40-49","88.40%","5"
"Mixed","Aged 40-49","1.30%","4"
"Asian or Asian British","Aged 40-49","5.90%","1"
"Black or Black British","Aged 40-49","3.70%","2"
"Chinese","Aged 40-49","0.30%","3"
"Other ethnic group","Aged 40-49","0.50%","6"
"White","Aged 50-59","91.40%","5"
"Mixed","Aged 50-59","1.00%","4"
"Asian or Asian British","Aged 50-59","3.60%","1"
"Black or Black British","Aged 50-59","3.30%","2"
"Chinese","Aged 50-59","0.20%","3"
"Other ethnic group","Aged 50-59","0.50%","6"
"White","Aged 60-64","92.50%","5"
"Mixed","Aged 60-64","0.70%","4"
"Asian or Asian British","Aged 60-64","4.00%","1"
"Black or Black British","Aged 60-64","1.90%","2"
"Chinese","Aged 60-64","0.20%","3"
"Other ethnic group","Aged 60-64","0.60%","6"
"White","Aged 65 & Over","89.70%","5"
"Mixed","Aged 65 & Over","0.70%","4"
"Asian or Asian British","Aged 65 & Over","6.70%","1"
"Black or Black British","Aged 65 & Over","2.10%","2"
"Chinese","Aged 65 & Over","0.20%","3"
"Other ethnic group","Aged 65 & Over","0.70%","6"
