"Title","Employment tribunal claims"
"Time period","2007 and 2012"
"Location","England, Wales and Scotland"
"Source","Survey of Employment Tribunals Applications (SETA)"
"Department","Department for Business, Energy and Industrial Strategy"
"Last update","1 June 2014"
"
"
"Measure","Time","time type","ethnicity","ethnicity_type","geography","Age","Gender","employment tribunal jurisdiction","value","value_type","denominator","Notes"
"single employment tribunal claims","2007","Year","white","ONS 5+1","Great Britain","16+","all","all","86","percentage","2020","","
"
"single employment tribunal claims","2007","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","all","5","percentage","2020","","
"
"single employment tribunal claims","2007","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","all","5","percentage","2020","","
"
"single employment tribunal claims","2007","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","all","2","percentage","2020","","
"
"single employment tribunal claims","2007","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","all","2","percentage","2020","","
"
"single employment tribunal claims","2007","Year","Unreported","ONS 5+1","Great Britain","16+","all","all","?","percentage","2020","suppressed","
"
"single employment tribunal claims","2007","Year","white","ONS 5+1","Great Britain","16+","all","Unfair dismissal","91","percentage","630","","
"
"single employment tribunal claims","2007","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Unfair dismissal","4","percentage","630","","
"
"single employment tribunal claims","2007","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Unfair dismissal","3","percentage","630","","
"
"single employment tribunal claims","2007","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Unfair dismissal","?","percentage","630","suppressed","
"
"single employment tribunal claims","2007","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Unfair dismissal","?","percentage","630","suppressed","
"
"single employment tribunal claims","2007","Year","Unreported","ONS 5+1","Great Britain","16+","all","Unfair dismissal","?","percentage","630","suppressed","
"
"single employment tribunal claims","2007","Year","white","ONS 5+1","Great Britain","16+","all","breach of contract","86","percentage","525","","
"
"single employment tribunal claims","2007","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","breach of contract","4","percentage","525","","
"
"single employment tribunal claims","2007","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","breach of contract","4","percentage","525","","
"
"single employment tribunal claims","2007","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","breach of contract","2","percentage","525","","
"
"single employment tribunal claims","2007","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","breach of contract","2","percentage","525","","
"
"single employment tribunal claims","2007","Year","Unreported","ONS 5+1","Great Britain","16+","all","breach of contract","?","percentage","525","suppressed","
"
"single employment tribunal claims","2007","Year","white","ONS 5+1","Great Britain","16+","all","Wages Act","82","percentage","241","","
"
"single employment tribunal claims","2007","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Wages Act","5","percentage","241","","
"
"single employment tribunal claims","2007","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Wages Act","5","percentage","241","","
"
"single employment tribunal claims","2007","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Wages Act","3","percentage","241","","
"
"single employment tribunal claims","2007","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Wages Act","2","percentage","241","","
"
"single employment tribunal claims","2007","Year","Unreported","ONS 5+1","Great Britain","16+","all","Wages Act","3","percentage","241","","
"
"single employment tribunal claims","2007","Year","white","ONS 5+1","Great Britain","16+","all","Discrimination","75","percentage","352","","
"
"single employment tribunal claims","2007","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Discrimination","8","percentage","352","","
"
"single employment tribunal claims","2007","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Discrimination","11","percentage","352","","
"
"single employment tribunal claims","2007","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Discrimination","3","percentage","352","","
"
"single employment tribunal claims","2007","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Discrimination","3","percentage","352","","
"
"single employment tribunal claims","2007","Year","Unreported","ONS 5+1","Great Britain","16+","all","Discrimination","2","percentage","352","","
"
"single employment tribunal claims","2007","Year","white","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","91","percentage","272","","
"
"single employment tribunal claims","2007","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","3","percentage","272","","
"
"single employment tribunal claims","2007","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","3","percentage","272","","
"
"single employment tribunal claims","2007","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","2","percentage","272","","
"
"single employment tribunal claims","2007","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","?","percentage","272","suppressed","
"
"single employment tribunal claims","2007","Year","Unreported","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","?","percentage","272","suppressed","
"
"single employment tribunal claims","2012","Year","white","ONS 5+1","Great Britain","16+","all","all","82","percentage","1988","","
"
"single employment tribunal claims","2012","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","all","7","percentage","1988","","
"
"single employment tribunal claims","2012","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","all","5","percentage","1988","","
"
"single employment tribunal claims","2012","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","all","2","percentage","1988","","
"
"single employment tribunal claims","2012","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","all","?","percentage","1988","suppressed","
"
"single employment tribunal claims","2012","Year","Unreported","ONS 5+1","Great Britain","16+","all","all","2","percentage","1988","","
"
"single employment tribunal claims","2012","Year","white","ONS 5+1","Great Britain","16+","all","Unfair dismissal","85","percentage","528","","
"
"single employment tribunal claims","2012","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Unfair dismissal","7","percentage","528","","
"
"single employment tribunal claims","2012","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Unfair dismissal","5","percentage","528","","
"
"single employment tribunal claims","2012","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Unfair dismissal","?","percentage","528","suppressed","
"
"single employment tribunal claims","2012","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Unfair dismissal","?","percentage","528","suppressed","
"
"single employment tribunal claims","2012","Year","Unreported","ONS 5+1","Great Britain","16+","all","Unfair dismissal","?","percentage","528","suppressed","
"
"single employment tribunal claims","2012","Year","white","ONS 5+1","Great Britain","16+","all","breach of contract","81","percentage","570","","
"
"single employment tribunal claims","2012","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","breach of contract","8","percentage","570","","
"
"single employment tribunal claims","2012","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","breach of contract","5","percentage","570","","
"
"single employment tribunal claims","2012","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","breach of contract","3","percentage","570","","
"
"single employment tribunal claims","2012","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","breach of contract","?","percentage","570","suppressed","
"
"single employment tribunal claims","2012","Year","Unreported","ONS 5+1","Great Britain","16+","all","breach of contract","2","percentage","570","","
"
"single employment tribunal claims","2012","Year","white","ONS 5+1","Great Britain","16+","all","Wages Act","85","percentage","180","","
"
"single employment tribunal claims","2012","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Wages Act","6","percentage","180","","
"
"single employment tribunal claims","2012","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Wages Act","3","percentage","180","","
"
"single employment tribunal claims","2012","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Wages Act","3","percentage","180","","
"
"single employment tribunal claims","2012","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Wages Act","?","percentage","180","suppressed","
"
"single employment tribunal claims","2012","Year","Unreported","ONS 5+1","Great Britain","16+","all","Wages Act","3","percentage","180","","
"
"single employment tribunal claims","2012","Year","white","ONS 5+1","Great Britain","16+","all","Discrimination","73","percentage","417","","
"
"single employment tribunal claims","2012","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Discrimination","12","percentage","417","","
"
"single employment tribunal claims","2012","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Discrimination","9","percentage","417","","
"
"single employment tribunal claims","2012","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Discrimination","3","percentage","417","","
"
"single employment tribunal claims","2012","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Discrimination","?","percentage","417","suppressed","
"
"single employment tribunal claims","2012","Year","Unreported","ONS 5+1","Great Britain","16+","all","Discrimination","2","percentage","417","","
"
"single employment tribunal claims","2012","Year","white","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","88","percentage","293","","
"
"single employment tribunal claims","2012","Year","Black/African/Caribbean/Black British","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","4","percentage","293","","
"
"single employment tribunal claims","2012","Year","Asian/Asian British","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","3","percentage","293","","
"
"single employment tribunal claims","2012","Year","Mixed/Multiple ethnic group","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","?","percentage","293","suppressed","
"
"single employment tribunal claims","2012","Year","Other ethnic group","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","4","percentage","293","","
"
"single employment tribunal claims","2012","Year","Unreported","ONS 5+1","Great Britain","16+","all","Other (including redundancy payments)","?","percentage","293","suppressed","
"
