"Title","Areas of England and Wales by ethnicity"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"","Asian","Black","Mixed","White British","White other","Other"
"Region","%","%","%","%","%","%"
"East","4.8","2.0","1.9","85.3","5.5","0.5"
"East Midlands","6.5","1.8","1.9","85.4","3.9","0.6"
"London","18.5","13.3","5.0","44.9","14.9","3.4"
"North East","2.9","0.5","0.9","93.6","1.7","0.4"
"North West","6.2","1.4","1.6","87.1","3.1","0.6"
"South East","5.2","1.6","1.9","85.2","5.4","0.6"
"South West","2.0","0.9","1.4","91.8","3.6","0.3"
"Wales","2.3","0.6","1.0","93.2","2.4","0.5"
"West Midlands","10.8","3.3","2.4","79.2","3.6","0.9"
"Yorkshire and The Humber","7.3","1.5","1.6","85.8","3.0","0.8"
