"Title","Ethnic groups by area"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"","All","East","East Midlands","London","North East","North West","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%"
"All","100.0","10.4","8.1","14.6","4.6","12.6","15.4","9.4","5.5","10.0","9.4"
"Asian","100.0","6.6","7.0","35.9","1.8","10.4","10.7","2.5","1.7","14.3","9.2"
"Bangladeshi","100.0","7.4","3.0","49.7","2.5","10.3","6.3","1.9","2.4","11.7","5.0"
"Chinese","100.0","8.5","6.2","31.6","3.6","12.2","13.5","5.7","3.5","8.0","7.2"
"Indian","100.0","6.1","12.0","38.4","1.1","7.6","10.8","2.4","1.2","15.5","4.9"
"Pakistani","100.0","5.9","4.4","19.9","1.8","16.8","8.8","1.0","1.1","20.2","20.1"
"Asian other","100.0","7.0","4.5","47.7","1.6","5.6","14.3","3.5","2.0","9.0","4.8"
"Black","100.0","6.3","4.4","58.4","0.7","5.2","7.3","2.7","1.0","9.8","4.3"
"Black African","100.0","7.1","4.2","58.0","1.1","6.0","8.8","2.4","1.2","6.5","4.7"
"Black Caribbean","100.0","5.7","4.9","57.9","0.2","3.9","5.8","2.5","0.6","14.6","3.9"
"Black other","100.0","5.0","3.9","60.7","0.4","5.5","5.2","3.6","0.9","11.1","3.9"
"Mixed","100.0","9.2","7.0","33.1","1.8","9.1","13.7","5.9","2.6","10.8","6.9"
"Mixed White/Asian","100.0","9.4","6.3","29.7","2.3","8.9","17.2","6.3","2.6","9.5","7.6"
"Mixed White/Black African","100.0","9.3","5.3","39.5","2.1","11.1","13.8","5.2","2.7","5.6","5.6"
"Mixed White/Black Caribbean","100.0","8.7","9.5","28.0","1.4","9.2","10.8","6.0","2.6","16.1","7.8"
"Mixed other","100.0","9.4","5.3","41.0","1.7","7.9","13.9","5.6","2.4","7.4","5.5"
"White","100.0","11.0","8.4","10.1","5.1","13.2","16.2","10.5","6.1","9.6","9.7"
"White British","100.0","11.0","8.6","8.1","5.4","13.6","16.3","10.8","6.3","9.8","10.0"
"White Irish","100.0","10.5","5.4","33.1","1.5","12.2","13.9","5.4","2.7","10.4","5.0"
"White Gypsy/Traveller","100.0","14.2","5.9","14.2","2.9","7.2","25.2","9.8","4.8","8.2","7.6"
"White other","100.0","10.5","5.8","41.6","1.4","6.1","15.3","6.3","2.2","5.6","5.2"
"Other","100.0","5.1","4.6","49.9","2.0","7.8","9.1","2.8","2.7","8.9","7.3"
"Arab","100.0","5.5","4.8","52.5","1.6","5.9","9.5","3.0","1.7","9.6","5.9"
"Any other","100.0","4.5","4.2","46.0","2.5","10.6","8.4","2.5","4.2","7.8","9.3"
