"Title","Regional ethnic diversity"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-20"
"Measure","local authority: county / unitary (prior to April 2015)","Ethnicity","Value","Value_type","Ethnicity_type","Source","Time","Geography"
"Ethnicity of local authorities","Newham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Brent","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Harrow","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Redbridge","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Tower Hamlets","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Slough","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Ealing","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicester","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hounslow","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Waltham Forest","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Lewisham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Southwark","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hackney","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Luton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Croydon","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Lambeth","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Birmingham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Barking and Dagenham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Haringey","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hillingdon","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Enfield","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Westminster","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Greenwich","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Barnet","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Merton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Camden","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Manchester","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Bradford","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wolverhampton","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Hammersmith and Fulham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Islington","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Blackburn with Darwen","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Sandwell","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Kensington and Chelsea","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Wandsworth","All usual residents","100","Percent","Total","Census","2011","England and Wales"
"Ethnicity of local authorities","Nottingham","All usual residents","100","Percent","Total","Census","2011","England and Wales"
