"Title","Ethnic diversity by area"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"Local authority","% White","Position"
"Newham","29.0","1"
"Brent","36.3","2"
"Harrow","42.2","3"
"Redbridge","42.5","4"
"Tower Hamlets","45.2","5"
"Slough","45.7","6"
"Ealing","49.0","7"
"Leicester","50.5","8"
"Hounslow","51.4","9"
"Waltham Forest","52.2","10"
"County Durham","98.2","165"
"Herefordshire, County of","98.2","166"
"Caerphilly","98.3","167"
"Northumberland","98.4","168"
"Powys","98.4","169"
"Blaenau Gwent","98.5","170"
"Cumbria","98.5","171"
"Flintshire","98.5","172"
"Redcar and Cleveland","98.5","173"
"Isles of Scilly","98.8","174"
