"Title","Ethnic groups by type of location (urban or rural)"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17/12/2012"

"Region","Ethnicity","% urban"
"North East","All","81.6"
"North East","Asian","95.9"
"North East","Bangladeshi","98.5"
"North East","Chinese","94.8"
"North East","Indian","93.8"
"North East","Pakistani","97.8"
"North East","Asian other","94.4"
"North East","Black","95.8"
"North East","Black African","97.0"
"North East","Black Caribbean","86.3"
"North East","Black other","93.6"
"North East","Mixed","88.5"
"North East","Mixed White/Asian","89.0"
"North East","Mixed White/Black African","91.4"
"North East","Mixed White/Black Caribbean","85.2"
"North East","Mixed other","89.5"
"North East","White","81.0"
"North East","White British","80.9"
"North East","White Irish","85.1"
"North East","White Gypsy/Traveller","77.9"
"North East","White other","87.9"
"North East","Other","95.4"
"North East","Arab","95.8"
"North East","Any other","94.9"
"North West","All","89.4"
"North West","Asian","98.4"
"North West","Bangladeshi","99.1"
"North West","Chinese","95.3"
"North West","Indian","98.3"
"North West","Pakistani","99.5"
"North West","Asian other","96.8"
"North West","Black","98.5"
"North West","Black African","98.7"
"North West","Black Caribbean","98.0"
"North West","Black other","98.6"
"North West","Mixed","95.5"
"North West","Mixed White/Asian","93.8"
"North West","Mixed White/Black African","96.9"
"North West","Mixed White/Black Caribbean","96.2"
"North West","Mixed other","95.3"
"North West","White","88.5"
"North West","White British","88.3"
"North West","White Irish","94.9"
"North West","White Gypsy/Traveller","90.5"
"North West","White other","93.6"
"North West","Other","98.1"
"North West","Arab","98.7"
"North West","Any other","97.3"
"Yorkshire and The Humber","All","82.5"
"Yorkshire and The Humber","Asian","97.9"
"Yorkshire and The Humber","Bangladeshi","98.0"
"Yorkshire and The Humber","Chinese","93.7"
"Yorkshire and The Humber","Indian","96.7"
"Yorkshire and The Humber","Pakistani","99.2"
"Yorkshire and The Humber","Asian other","94.9"
"Yorkshire and The Humber","Black","96.9"
"Yorkshire and The Humber","Black African","97.1"
