"Title","Pupils going into sustained education, employment or training by ethnicity"
"Location","England"
"Time period","2014/15"
"Data source",""
"Data source link","https://www.gov.uk/government/collections/statistics-destinations"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","Education, employment or training","Education","Employment","No sustained education/employment","Unknown"
"Ethnicity","%","%","%","%","%"
"All","94","91","3","5","1"
"Asian","95","94","1","4","1"
"Bangladeshi","94","94","1","4","1"
"Indian","97","96","1","2","1"
"Pakistani","94","93","1","5","1"
"Asian other","95","95","1","3","2"
"Black","94","94","1","4","1"
"Black African","95","95","0","3","1"
"Black Caribbean","93","92","1","6","1"
"Black other","94","93","1","5","1"
"Chinese","97","97","0","1","1"
"Mixed","93","90","2","6","1"
"Mixed White/Asian","94","92","2","5","1"
"Mixed White/Black African","93","92","2","6","1"
"Mixed White/Black Caribbean","91","88","3","8","1"
"Mixed other","94","92","2","5","1"
"White","94","90","4","6","1"
"White British","94","90","4","6","1"
"White Irish","93","91","2","6","1"
"White Irish Traveller","67","58","9","25","8"
"White Gypsy/Roma","68","62","6","24","8"
"White other","92","91","2","5","3"
"Other","93","92","1","4","3"
"Unknown","92","89","3","7","2"
