"Title","Destinations of school pupils after key stage 4 (usually aged 16 years)"
"Location","England"
"Time period","2010/11 to 2014/15"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-destinations"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Destination","Value","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","89","456,050","403,810"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","88","16,690","14,670"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Asian","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","92","36,945","34,140"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Black","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","91","19,990","18,130"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Unclassified","White/Mixed/Asian/Black/Chinese","E92000001","ONS geography code","All","All","Education, employment or training","86","32,365","27,900"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - British","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","442,055","391,375"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White - Irish","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","89","1,885","1,680"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","59","115","70"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","67","390","265"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","Any other White background","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","90","11,600","10,425"
"Pupil destination after key stage 4 study (Percentage %)","2010/11","Academic year","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","E92000001","ONS geography code","All","All","Education, employment or training","86","6,190","5,315"
