"Destination","Ethnicity","%"
"Education, employment or training","All","94"
"Education, employment or training","Asian","96"
"Education, employment or training","Bangladeshi","96"
"Education, employment or training","Indian","97"
"Education, employment or training","Pakistani","94"
"Education, employment or training","Asian other","96"
"Education, employment or training","Black","94"
"Education, employment or training","Black African","95"
"Education, employment or training","Black Caribbean","93"
"Education, employment or training","Black other","94"
"Education, employment or training","Chinese","97"
"Education, employment or training","Mixed","93"
"Education, employment or training","Mixed White/Asian","94"
"Education, employment or training","Mixed White/Black African","94"
"Education, employment or training","Mixed White/Black Caribbean","91"
"Education, employment or training","Mixed other","93"
"Education, employment or training","White","94"
"Education, employment or training","White British","94"
"Education, employment or training","White Irish","94"
"Education, employment or training","White Irish Traveller","68"
"Education, employment or training","White Gypsy/Roma","65"
"Education, employment or training","White other","92"
"Education, employment or training","Other","93"
"Education, employment or training","Unknown","90"
"Education","All","90"
"Education","Asian","94"
"Education","Bangladeshi","95"
"Education","Indian","96"
"Education","Pakistani","93"
"Education","Asian other","95"
"Education","Black","93"
"Education","Black African","94"
"Education","Black Caribbean","91"
"Education","Black other","92"
"Education","Chinese","97"
"Education","Mixed","90"
"Education","Mixed White/Asian","92"
"Education","Mixed White/Black African","92"
"Education","Mixed White/Black Caribbean","87"
"Education","Mixed other","91"
"Education","White","90"
"Education","White British","90"
"Education","White Irish","92"
"Education","White Irish Traveller","57"
"Education","White Gypsy/Roma","57"
"Education","White other","90"
"Education","Other","92"
"Education","Unknown","86"
"Employment","All","3"
"Employment","Asian","1"
"Employment","Bangladeshi","1"
"Employment","Indian","1"
"Employment","Pakistani","1"
"Employment","Asian other","1"
"Employment","Black","1"
"Employment","Black African","1"
"Employment","Black Caribbean","2"
"Employment","Black other","1"
"Employment","Chinese","0"
"Employment","Mixed","3"
"Employment","Mixed White/Asian","2"
"Employment","Mixed White/Black African","2"
"Employment","Mixed White/Black Caribbean","4"
"Employment","Mixed other","2"
"Employment","White","4"
"Employment","White British","4"
"Employment","White Irish","2"
"Employment","White Irish Traveller","12"
"Employment","White Gypsy/Roma","8"
"Employment","White other","2"
"Employment","Other","1"
"Employment","Unknown","4"
"No sustained education/employment","All","5"
"No sustained education/employment","Asian","3"
"No sustained education/employment","Bangladeshi","3"
"No sustained education/employment","Indian","2"
"No sustained education/employment","Pakistani","4"
"No sustained education/employment","Asian other","3"
"No sustained education/employment","Black","4"
"No sustained education/employment","Black African","3"
"No sustained education/employment","Black Caribbean","6"
"No sustained education/employment","Black other","5"
"No sustained education/employment","Chinese","1"
"No sustained education/employment","Mixed","6"
"No sustained education/employment","Mixed White/Asian","5"
"No sustained education/employment","Mixed White/Black African","5"
"No sustained education/employment","Mixed White/Black Caribbean","8"
"No sustained education/employment","Mixed other","6"
"No sustained education/employment","White","6"
"No sustained education/employment","White British","6"
"No sustained education/employment","White Irish","5"
"No sustained education/employment","White Irish Traveller","25"
"No sustained education/employment","White Gypsy/Roma","27"
"No sustained education/employment","White other","5"
"No sustained education/employment","Other","5"
"No sustained education/employment","Unknown","8"
"Unknown","All","1"
"Unknown","Asian","1"
"Unknown","Bangladeshi","1"
"Unknown","Indian","1"
"Unknown","Pakistani","1"
"Unknown","Asian other","1"
"Unknown","Black","2"
"Unknown","Black African","2"
"Unknown","Black Caribbean","1"
"Unknown","Black other","1"
"Unknown","Chinese","2"
"Unknown","Mixed","1"
"Unknown","Mixed White/Asian","1"
"Unknown","Mixed White/Black African","1"
"Unknown","Mixed White/Black Caribbean","1"
"Unknown","Mixed other","1"
"Unknown","White","1"
"Unknown","White British","1"
"Unknown","White Irish","1"
"Unknown","White Irish Traveller","7"
"Unknown","White Gypsy/Roma","9"
"Unknown","White other","3"
"Unknown","Other","2"
"Unknown","Unknown","2"
