"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","White","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","456,050","403,810"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","88","% of cohort","16,690","14,670"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","92","% of cohort","36,945","34,140"
"Pupil destination after key stage 4 study (Percentage %)","Black","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","91","% of cohort","19,990","18,130"
"Pupil destination after key stage 4 study (Percentage %)","Unknown","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","86","% of cohort","32,365","27,900"
"Pupil destination after key stage 4 study (Percentage %)","White British","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","442,055","391,375"
"Pupil destination after key stage 4 study (Percentage %)","White Irish","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","1,885","1,680"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","59","% of cohort","115","70"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","67","% of cohort","390","265"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","90","% of cohort","11,600","10,425"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","86","% of cohort","6,190","5,315"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","87","% of cohort","1,485","1,295"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","90","% of cohort","3,290","2,975"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","5,725","5,090"
"Pupil destination after key stage 4 study (Percentage %)","Indian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","95","% of cohort","11,965","11,395"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","90","% of cohort","14,760","13,280"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","92","% of cohort","5,975","5,480"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","94","% of cohort","4,245","3,980"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","7,525","6,695"
"Pupil destination after key stage 4 study (Percentage %)","Black African","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","92","% of cohort","10,135","9,365"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","2,330","2,075"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","96","% of cohort","1,700","1,640"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","91","% of cohort","4,665","4,240"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education, employment or training","89","% of cohort","568,410","504,535"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","568,410","487,605"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","568,410","16,925"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","568,410","52,020"
"Pupil destination after key stage 4 study (Percentage %)","All","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","568,410","11,860"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","93","% of cohort","4,245","3,960"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","4,245","20"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","4","% of cohort","4,245","165"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","4,245","100"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","88","% of cohort","2,330","2,050"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","2,330","25"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","2,330","200"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","2,330","55"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","90","% of cohort","4,665","4,210"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","4,665","30"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","6","% of cohort","4,665","280"
"Pupil destination after key stage 4 study (Percentage %)","Other","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","4,665","145"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","5,725","4,995"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","5,725","95"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","5,725","505"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","5,725","130"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","88","% of cohort","11,600","10,200"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","11,600","225"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","11,600","905"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","11,600","270"
"Pupil destination after key stage 4 study (Percentage %)","Asian","DfE","2010/11","Academic year","England","Country","E92000001","All","All","Education","91","% of cohort","36,945","33,775"
