"Title","EBacc achievement by ethnicity, gender and religion of school"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","25","20","30","32","25","39","23","17","30","52","44","61","27","22","32","24","19","29"
"Church of England schools","26","22","31","33","30","38","24","17","30","57","54","61","28","25","31","26","21","30"
"Jewish schools","42","43","41","46","40","53","54","57","50","!","!","!","37","33","40","38","40","36"
"Muslim schools","51","45","53","53","44","55","35","40","33","N/A","N/A","N/A","!","!","!","!","N/A","!"
"No religious character","25","20","30","31","25","38","22","16","29","53","45","61","26","21","32","24","19","28"
"Other Christian faith schools","27","23","31","42","38","49","22","15","31","52","32","77","32","32","33","25","22","28"
"Roman Catholic schools","29","24","35","33","26","41","28","21","34","48","40","54","31","26","36","29","23","34"
"Sikh school","49","45","54","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
