"Title","EBacc achievement by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%"
"Academies and free schools","337,452","26","28,983","35","15,874","24","1,416","55","14,288","29","268,711","25"
"All state-funded mainstream schools","530,580","25","50,515","32","27,407","23","2,008","52","22,465","27","414,528","24"
"All state-funded schools","540,689","25","51,218","31","27,924","23","2,026","52","22,868","27","422,763","24"
"Converter academies","247,551","31","20,958","40","9,482","28","1,127","59","10,292","34","200,260","29"
"Free schools","1,838","26","411","45","60","10","8","38","79","25","1,187","21"
"Further education colleges with provision for 14- to 16-year-olds","885","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Local authority maintained mainstream schools","191,701","23","21,499","27","11,496","22","591","47","8,130","24","145,402","22"
"Sponsored academies","85,080","15","7,419","22","6,173","20","277","40","3,759","18","64,925","13"
"State-funded special schools","10,109","!","703","!","517","!","18","!","403","!","8,235","!"
"Studio schools","1,119","2","70","!","29","!","!","!","50","!","927","2"
"University technical colleges","1,864","3","125","!","130","!","!","!","108","!","1,412","3"
