"Title","Average time spent living in current home by ethnicity by area"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Region","Standard Deviation","Sample size","Mean_Y_M"
"White British","North East","15.2","1470","15 years 6 months"
"White British","North West","15.3","3377","15 years 8 months"
"White British","Yorkshire and the Humber","14.7","2423","14 years 9 months"
"White British","East Midlands","14.5","2133","14 years 10 months"
"White British","West Midlands","16.1","2304","16 years 11 months"
"White British","East","14.3","2669","15 years 2 months"
"White British","London","14.8","1614","15 years 3 months"
"White British","South East","13.7","3849","14 years 0 months"
"White British","South West","14.4","2618","14 years 4 months"
"All other ethnic groups","North East","9.3","75","7 years 5 months"
"All other ethnic groups","North West","11.4","400","9 years 3 months"
"All other ethnic groups","Yorkshire and the Humber","11.4","296","8 years 6 months"
"All other ethnic groups","East Midlands","10.7","277","8 years 7 months"
"All other ethnic groups","West Midlands","10.8","413","9 years 8 months"
"All other ethnic groups","East","9.6","368","7 years 4 months"
"All other ethnic groups","London","10.5","1588","9 years 2 months"
"All other ethnic groups","South East","9.8","548","7 years 3 months"
"All other ethnic groups","South West","8.7","184","6 years 4 months"
