"Title","Time spent living in current home"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Title","Time spent living in current home","","","","","","","","","","",""
"Location","England","","","","","","","","","","",""
"Time period","2015/16 and 2016/17 (combined)","","","","","","","","","","",""
"Data sources","Ministry of Housing, Communities and Local Government (MHCLG)","","","","","","","","","","",""
"Data source link","https://www.gov.uk/government/collections/english-housing-survey","","","","","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk","","","","","","","","","","",""
"Last updated","12/07/2018","","","","","","","","","","",""
"Measure","Time","Time_type","Geography","Ethnicity","Ethnicity_type","Age_group","NS-SEC","Income_band","Region","Tenure","Value","Sample_size"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","All","All","All","15.1","21997"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White Irish","ONS 2011 18+1","All","All","All","All","All","15.4","216"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White Gypsy or Irish Traveller","ONS 2011 18+1","All","All","All","All","All","?","12"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White Other","ONS 2011 18+1","All","All","All","All","All","5.3","1275"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Mixed White and Black Caribbean","ONS 2011 18+1","All","All","All","All","All","8.9","98"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Mixed White and Black African","ONS 2011 18+1","All","All","All","All","All","6.9","100"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Mixed White and Asian","ONS 2011 18+1","All","All","All","All","All","9.2","64"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Mixed Other","ONS 2011 18+1","All","All","All","All","All","8.5","50"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Indian","ONS 2011 18+1","All","All","All","All","All","11.3","519"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Pakistani","ONS 2011 18+1","All","All","All","All","All","10","376"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Bangladeshi","ONS 2011 18+1","All","All","All","All","All","9.1","156"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Chinese","ONS 2011 18+1","All","All","All","All","All","5.2","117"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Asian Other","ONS 2011 18+1","All","All","All","All","All","7.5","199"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Black African","ONS 2011 18+1","All","All","All","All","All","6.9","515"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Black Caribbean","ONS 2011 18+1","All","All","All","All","All","14.5","332"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Black Other","ONS 2011 18+1","All","All","All","All","All","8.5","36"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Arab","ONS 2011 18+1","All","All","All","All","All","5.8","83"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other","ONS 2011 18+1","All","All","All","All","All","6.9","271"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","White British and Other","All","Higher managerial, administrative and professional occupations","All","All","All","13.5","8368"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","White British and Other","All","Intermediate occupations","All","All","All","15.9","4411"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","White British and Other","All","Routine and manual occupations","All","All","All","16","7903"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","White British and Other","All","Higher managerial, administrative and professional occupations","All","All","All","7.4","1511"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","White British and Other","All","Intermediate occupations","All","All","All","9.5","812"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","White British and Other","All","Routine and manual occupations","All","All","All","8.5","1625"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","White British and Other","All","Higher managerial, administrative and professional occupations","All","All","All","12.5","9879"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","White British and Other","All","Intermediate occupations","All","All","All","14.8","5223"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","White British and Other","All","Routine and manual occupations","All","All","All","14.6","9528"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","Up to £99","All","All","9.4","242"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£100 to £199","All","All","17.4","2059"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£200 to £299","All","All","18.9","2698"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£300 to £399","All","All","17.1","2650"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£400 to £499","All","All","16","2139"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£500 to £599","All","All","15.4","1866"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£600 to £699","All","All","15.3","1784"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£700 to £799","All","All","14.2","1453"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£800 to £899","All","All","13.7","1200"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£900 to £999","All","All","13.1","1001"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","White British","ONS 2011 18+1","All","All","£1000 and above","All","All","12.3","4753"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","Up to £99","All","All","6.4","56"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£100 to £199","All","All","10","371"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£200 to £299","All","All","9.9","502"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£300 to £399","All","All","8.9","550"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£400 to £499","All","All","8.5","447"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£500 to £599","All","All","7.5","435"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£600 to £699","All","All","8","383"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£700 to £799","All","All","7.6","274"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£800 to £899","All","All","7.8","234"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£900 to £999","All","All","8.7","180"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","Other than White British","ONS 2011 18+1","All","All","£1000 and above","All","All","7.8","943"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","Up to £99","All","All","8.8","298"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£100 to £199","All","All","16.2","2430"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£200 to £299","All","All","17.4","3200"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£300 to £399","All","All","15.6","3200"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£400 to £499","All","All","14.6","2586"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£500 to £599","All","All","13.9","2301"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£600 to £699","All","All","13.9","2167"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£700 to £799","All","All","13.1","1727"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£800 to £899","All","All","12.6","1434"
"Average time (in years) spent living in current home","2015-16 and 2016-17","Two years","England","All","ONS 2011 18+1","All","All","£900 to £999","All","All","12.3","1181"
