"Title","Family units receiving non-income related benefits, by ethnicity and type of benefit"
"Location",""
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"","Child Benefit ","State Pension ","Disability Living Allowance (care component) ","Disability Living Allowance (mobility component) "
"Ethnicity","%","%","%","%"
"All","20","25","6","6"
"Asian","27","9","4","3"
"Bangladeshi","35","8","6","4"
"Chinese","18","7","0","1"
"Indian","23","13","4","3"
"Pakistani","32","7","6","4"
"Asian other","28","7","2","1"
"Black","29","11","5","4"
"Mixed","24","8","4","3"
"White British","19","28","7","6"
"White other","24","10","3","2"
"Other","27","8","3","3"
