"Title","Family units receiving non-income related benefits, by ethnicity and type of benefit"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"Benefit","Ethnicity","%"
"Child Benefit ","All","20"
"Child Benefit ","Asian","27"
"Child Benefit ","Bangladeshi","35"
"Child Benefit ","Chinese","18"
"Child Benefit ","Indian","23"
"Child Benefit ","Pakistani","32"
"Child Benefit ","Asian other","28"
"Child Benefit ","Black","29"
"Child Benefit ","Mixed","24"
"Child Benefit ","White British","19"
"Child Benefit ","White other","24"
"Child Benefit ","Other","27"
"State Pension ","All","25"
"State Pension ","Asian","9"
"State Pension ","Bangladeshi","8"
"State Pension ","Chinese","7"
"State Pension ","Indian","13"
"State Pension ","Pakistani","7"
"State Pension ","Asian other","7"
"State Pension ","Black","11"
"State Pension ","Mixed","8"
"State Pension ","White British","28"
"State Pension ","White other","10"
"State Pension ","Other","8"
"Disability Living Allowance (care component) ","All","6"
"Disability Living Allowance (care component) ","Asian","4"
"Disability Living Allowance (care component) ","Bangladeshi","6"
"Disability Living Allowance (care component) ","Chinese","0"
"Disability Living Allowance (care component) ","Indian","4"
"Disability Living Allowance (care component) ","Pakistani","6"
"Disability Living Allowance (care component) ","Asian other","2"
"Disability Living Allowance (care component) ","Black","5"
"Disability Living Allowance (care component) ","Mixed","4"
"Disability Living Allowance (care component) ","White British","7"
"Disability Living Allowance (care component) ","White other","3"
"Disability Living Allowance (care component) ","Other","3"
"Disability Living Allowance (mobility component) ","All","6"
"Disability Living Allowance (mobility component) ","Asian","3"
"Disability Living Allowance (mobility component) ","Bangladeshi","4"
"Disability Living Allowance (mobility component) ","Chinese","1"
"Disability Living Allowance (mobility component) ","Indian","3"
"Disability Living Allowance (mobility component) ","Pakistani","4"
"Disability Living Allowance (mobility component) ","Asian other","1"
"Disability Living Allowance (mobility component) ","Black","4"
"Disability Living Allowance (mobility component) ","Mixed","3"
"Disability Living Allowance (mobility component) ","White British","6"
"Disability Living Allowance (mobility component) ","White other","2"
"Disability Living Allowance (mobility component) ","Other","3"
