"Title","Family units receiving Jobseeker’s Allowance (JSA) or Employment and Support Allowance (ESA)"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","Jobseeker's Allowance  ","Employment and Support Allowance  "
"Ethnicity","Value","Value"
"All","3","4"
"Asian","3","2"
"Bangladeshi","3","6"
"Chinese","1","?"
"Indian","2","2"
"Pakistani","4","2"
"Asian other","2","2"
"Black","5","3"
"Mixed","5","3"
"White British","2","4"
"White other","2","1"
"Other","5","4"
