"Title","Family units receiving state support by ethnicity over time"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16"
"Ethnicity","%","%","%","%","%"
"All","62","61","60","58","57"
"Asian","49","50","50","49","48"
"Bangladeshi","53","52","59","55","56"
"Chinese","29","29","31","30","30"
"Indian","48","48","48","47","46"
"Pakistani","56","59","57","57","53"
"Asian other","48","51","49","49","44"
"Black","58","60","59","58","54"
"Mixed","49","47","46","44","45"
"White British","64","63","62","60","59"
"White other","48","47","46","45","42"
"Other","55","53","52","49","49"
