"Title","Family units receiving tax credits"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"Benefit","Ethnicity","%"
"Child Tax Credit  ","All","10"
"Child Tax Credit  ","Asian","15"
"Child Tax Credit  ","Bangladeshi","29"
"Child Tax Credit  ","Chinese","6"
"Child Tax Credit  ","Indian","8"
"Child Tax Credit  ","Pakistani","24"
"Child Tax Credit  ","Asian other","15"
"Child Tax Credit  ","Black","19"
"Child Tax Credit  ","Mixed","14"
"Child Tax Credit  ","White British","9"
"Child Tax Credit  ","White other","12"
"Child Tax Credit  ","Other","14"
"Working Tax Credit  ","All","5"
"Working Tax Credit  ","Asian","9"
"Working Tax Credit  ","Bangladeshi","16"
"Working Tax Credit  ","Chinese","5"
"Working Tax Credit  ","Indian","5"
"Working Tax Credit  ","Pakistani","14"
"Working Tax Credit  ","Asian other","9"
"Working Tax Credit  ","Black","8"
"Working Tax Credit  ","Mixed","7"
"Working Tax Credit  ","White British","5"
"Working Tax Credit  ","White other","8"
"Working Tax Credit  ","Other","7"
