"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","62","83,572","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","61","83,572","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","15","83,572","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","21","83,572","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","57","83,572","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","23","83,572","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","6","83,572","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","14","83,572","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","4","83,572","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","13","83,572","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","5","83,572","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","16","83,572","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","4","83,572","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","83,572","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","25","83,572","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","83,572","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","83,572","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","83,572","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","83,572","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","83,572","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","7","83,572","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","6","83,572","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","0","83,572","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","0","83,572","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","83,572","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","83,572","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","63","76,709","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","62","76,709","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","15","76,709","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","20","76,709","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","58","76,709","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","22","76,709","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","6","76,709","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","14","76,709","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","4","76,709","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","13","76,709","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","6","76,709","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","16","76,709","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","4","76,709","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","76,709","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","27","76,709","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","76,709","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","76,709","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","76,709","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","76,709","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","76,709","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","7","76,709","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","6","76,709","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","0","76,709","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","0","76,709","","","","Not available in period"
