"Geography_name","Ethnicity","%"
"North East","Asian","1.5"
"North East","Bangladeshi","0.4"
"North East","Chinese","0.1"
"North East","Indian","0.1"
"North East","Pakistani","0.3"
"North East","Asian other","0.6"
"North East","Black","1.5"
"North East","Black African","1.2"
"North East","Black Caribbean","0.1"
"North East","Black other","0.2"
"North East","Mixed","0.8"
"North East","Mixed White/Asian","0.2"
"North East","Mixed White/Black African","0.2"
"North East","Mixed White/Black Caribbean","0.1"
"North East","Mixed other","0.3"
"North East","White","95.1"
"North East","White British","93.4"
"North East","White Irish","0.2"
"North East","White Gypsy/Traveller","0.1"
"North East","White other","1.5"
"North East","Other","1.0"
"North East","Arab","0.3"
"North East","Any other","0.7"
"North West","Asian","3.0"
"North West","Bangladeshi","0.3"
"North West","Chinese","0.2"
"North West","Indian","0.4"
"North West","Pakistani","1.3"
"North West","Asian other","0.9"
"North West","Black","3.8"
"North West","Black African","2.5"
"North West","Black Caribbean","0.8"
"North West","Black other","0.5"
"North West","Mixed","2.1"
"North West","Mixed White/Asian","0.3"
"North West","Mixed White/Black African","0.5"
"North West","Mixed White/Black Caribbean","0.8"
"North West","Mixed other","0.5"
"North West","White","89.7"
"North West","White British","85.2"
"North West","White Irish","0.5"
"North West","White Gypsy/Traveller","0.1"
"North West","White other","3.9"
"North West","Other","1.5"
"North West","Arab","0.5"
"North West","Any other","1.0"
"Yorkshire & Humber","Asian","4.3"
"Yorkshire & Humber","Bangladeshi","0.3"
"Yorkshire & Humber","Chinese","0.1"
"Yorkshire & Humber","Indian","0.4"
"Yorkshire & Humber","Pakistani","2.2"
"Yorkshire & Humber","Asian other","1.2"
"Yorkshire & Humber","Black","4.2"
"Yorkshire & Humber","Black African","2.7"
"Yorkshire & Humber","Black Caribbean","1.0"
"Yorkshire & Humber","Black other","0.5"
"Yorkshire & Humber","Mixed","2.4"
"Yorkshire & Humber","Mixed White/Asian","0.4"
"Yorkshire & Humber","Mixed White/Black African","0.4"
"Yorkshire & Humber","Mixed White/Black Caribbean","1.1"
"Yorkshire & Humber","Mixed other","0.5"
"Yorkshire & Humber","White","86.9"
"Yorkshire & Humber","White British","82.4"
"Yorkshire & Humber","White Irish","0.3"
"Yorkshire & Humber","White Gypsy/Traveller","0.1"
"Yorkshire & Humber","White other","4.2"
"Yorkshire & Humber","Other","2.2"
"Yorkshire & Humber","Arab","0.6"
"Yorkshire & Humber","Any other","1.6"
"East Midlands","Asian","3.4"
"East Midlands","Bangladeshi","0.3"
"East Midlands","Chinese","0.1"
"East Midlands","Indian","1.4"
"East Midlands","Pakistani","0.9"
"East Midlands","Asian other","0.8"
"East Midlands","Black","3.8"
"East Midlands","Black African","2.0"
"East Midlands","Black Caribbean","1.3"
"East Midlands","Black other","0.4"
"East Midlands","Mixed","2.7"
"East Midlands","Mixed White/Asian","0.2"
"East Midlands","Mixed White/Black African","0.3"
"East Midlands","Mixed White/Black Caribbean","1.6"
"East Midlands","Mixed other","0.5"
"East Midlands","White","88.8"
"East Midlands","White British","84.1"
"East Midlands","White Irish","0.4"
"East Midlands","White Gypsy/Traveller","0.1"
"East Midlands","White other","4.2"
"East Midlands","Other","1.2"
"East Midlands","Arab","0.3"
"East Midlands","Any other","1.0"
"West Midlands","Asian","6.2"
"West Midlands","Bangladeshi","0.7"
"West Midlands","Chinese","0.1"
"West Midlands","Indian","1.3"
"West Midlands","Pakistani","2.9"
"West Midlands","Asian other","1.1"
"West Midlands","Black","8.8"
"West Midlands","Black African","4.1"
"West Midlands","Black Caribbean","4.0"
"West Midlands","Black other","0.7"
"West Midlands","Mixed","4.3"
"West Midlands","Mixed White/Asian","0.5"
"West Midlands","Mixed White/Black African","0.6"
"West Midlands","Mixed White/Black Caribbean","2.6"
"West Midlands","Mixed other","0.6"
"West Midlands","White","78.8"
"West Midlands","White British","74.1"
"West Midlands","White Irish","0.7"
"West Midlands","White Gypsy/Traveller","0.1"
"West Midlands","White other","3.9"
"West Midlands","Other","2.0"
"West Midlands","Arab","0.7"
"West Midlands","Any other","1.3"
"East of England","Asian","2.8"
"East of England","Bangladeshi","0.7"
"East of England","Chinese","0.1"
"East of England","Indian","0.5"
"East of England","Pakistani","0.8"
"East of England","Asian other","0.7"
"East of England","Black","3.8"
"East of England","Black African","2.0"
"East of England","Black Caribbean","1.3"
"East of England","Black other","0.5"
"East of England","Mixed","2.9"
"East of England","Mixed White/Asian","0.4"
"East of England","Mixed White/Black African","0.4"
"East of England","Mixed White/Black Caribbean","1.3"
"East of England","Mixed other","0.9"
"East of England","White","89.6"
"East of England","White British","84.2"
"East of England","White Irish","0.5"
"East of England","White Gypsy/Traveller","0.1"
"East of England","White other","4.8"
"East of England","Other","0.9"
"East of England","Arab","0.2"
"East of England","Any other","0.7"
"London","Asian","12.2"
"London","Bangladeshi","4.8"
"London","Chinese","0.5"
"London","Indian","1.8"
"London","Pakistani","1.8"
"London","Asian other","3.3"
"London","Black","29.3"
"London","Black African","14.1"
"London","Black Caribbean","11.4"
"London","Black other","3.7"
"London","Mixed","6.7"
"London","Mixed White/Asian","0.5"
"London","Mixed White/Black African","1.2"
"London","Mixed White/Black Caribbean","3.2"
